Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VAL VX136,VALVOLINE MOTOR OIL 10W40 208L TB,LUBRICANTES,VALVOLINE,A,0,"3178059,449",4265000,0,5484375,5484375
VAL VX348,VALVOLINE FLUIDO ATF DEXRON III 208 LTB,LUBRICANTES,VALVOLINE,A,0,"2626773,61",3280000,"912,49",5400000,5400000
VAL VX385,VALVOLINE ALL FLEET 15W40 208L.TB,LUBRICANTES,VALVOLINE,A,0,"2399482,65",3680000,0,5520000,5520000
VAL VX390,VALVOLINE ALL FLEET SAE 10 208L.,LUBRICANTES,VALVOLINE,A,0,"1929522,27",3002549,0,4503824,4503824
VAL VX398,VALVOLINE ALL FLEET SAE 40 TB,LUBRICANTES,VALVOLINE,A,0,"2221965,255",3060000,0,4590000,4590000
VAL VX401,VALVOLINE ALL FLEET SAE 50 208L TB,LUBRICANTES,VALVOLINE,A,0,"2667695,498",3113172,0,4669758,4669758
VAL VX403,VALVOLINE 15W40 208L. ALL FLEET EXTRA AMERICANO,LUBRICANTES,VALVOLINE,A,0,2676270,3515000,"968,387",5272500,5272500
VAL VX404,VALVOLINE 15W40 19L. ALL FLEET EXTRA AMERICANO,LUBRICANTES,VALVOLINE,A,0,207047,425000,"111,842",796875,796875
VAL VX810,VALVOLINE HIDRAULICO UNITRAC 10W30 TB 208,LUBRICANTES,VALVOLINE,A,0,"2521123,12",3350000,0,5653125,5653125
VAL VX826,VALVOLINE HP GEAR OIL 85W140 208L TB GL-5,LUBRICANTES,VALVOLINE,A,0,"2419133,024",3200000,0,4800000,4800000
VAL VX835,VALVOLINE CAJA HP GEAR OIL 80W90 GL5- LS 208L TB,LUBRICANTES,VALVOLINE,A,0,"3252823,24",4590000,"1028,261",7745625,7745625
VAL ZXEDRU1,VALVOLINE ANTICONGELANTE ZEREX EXTENDER LIFE ROJO 50/50,LUBRICANTES,VALVOLINE,A,11,"41043,198",60000,"14,176",116000,116000
VAL ZXEDRU2,VALVOLINE ANTICONGELANTE ZEREX EXTENDER LIFE ROJO 50/50 208L,LUBRICANTES,VALVOLINE,A,0,"1923134,985",3050000,0,5866000,5866000
VAL ZXEL1,VALVOLINE ANTICONGELANTE ZEREX DEX COOL NARANJ,LUBRICANTES,VALVOLINE,A,0,"47537,173",70300,0,105450,105450
