Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
TOY H-100,BATERIA TOYO 100AMP BORNE SIMPLE PARA VOLVO,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-70,BATERIA TOYO 70 AMP LA300-AN170-AL230 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-100,BATERIA TOYO 100 AMP.405 x 172 x 240,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY HT-100,BATERIA TOYO 100AMP BORNE TORNILLO PARA VOLVO,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-200 NEGRA,BATERIA TOYO 200 AMP.NEGRA 841-860 N200,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-200,BATERIA TOYO 200 AMP.BLANCA 841-860 N200,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-70L,BATERIA TOYO 70 AMP LA300-AN170-AL230 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-120,BATERIA TOYO 120 AMP.12V 961-980 N-120,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY 12N24,BATERIA TOYO  12N24,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY BT-54,BATERIA TOYO  54 AMP.+- 12V.BT-54 249X173X180,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-150,BATERIA TOYO 150 AMP.BLANCA 300-309 N150,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY BT-63,BATERIA TOYO  63 AMP.+- 12V 276 x 167 x 175,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY NS-70,BATERIA TOYO  65 AMP.+- 12V NS-70 257 x 170 x 224,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-180,BATERIA TOYO 180 AMP.BLANCA 741-840,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY N-88L,BATERIA TOYO  88 AMP.-+ 368 x 173 x 189,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF40EL,BATERIA TOYO FREE 40 AMP +/- 12V LA197-AN129-AL214 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF40ER,BATERIA TOYO FREE 40AMP -/+ 12V LA197-AN129-AL214 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF50EL,BATERIA TOYO FREE 50 AMP +/- 12V LA260-AN170-AL216 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF50ER,BATERIA TOYO FREE 50 AMP -/+ 12V LA260-AN170-AL216 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF70EL,BATERIA TOYO FREE 75 AMP +/- 12VPLACA ALTA LA304-AN164-AL222,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF70ER,BATERIA TOYO FREE 75 AMP -/+ 12VPLACA ALTA LA304-AN164-AL222,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF90EL,BATERIA TOYO FREE 90 AMP +/- 12V LA320-AN171-AL227 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY TF90ER,BATERIA TOYO FREE 90 AMP -/+ 12V LA320-AN171-AL227 mm,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY NS-100,BATERIA TOYO  90 AMP.+- 12V L30 AN17 AL23,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY BT-100,BATERIA TOYO 100 AMP.12V LA36 AN17 AL23,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY 12N24L,BATERIA TOYO  12N24L,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY 80D31L,BATERIA TOYO  80 AMP.-+ 300 x 170 x 230,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY 80D31R,BATERIA TOYO  80 AMP.+- 300 x 170 x 230,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY 95D31L,BATERIA TOYO  80AMP. 12V 300 x 170 x 230,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
TOY 95D31R,BATERIA TOYO  80AMP. 12V 300 x 170 x 230,BATERIAS,ELE,TOYO,Sin Color,VARIOS,Sin linea,0,0
