Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
WAB 432.901.228.2,FILTRO SECADOR APU GRIS SC124 ROSCA GRUESA,FILTROS,FRENOS,WABCO,SCANIA,VARIOS,PESADA,0,0
TEC PSA-237,FILTRO REFRIGERANTE RADIADOR P/ VOLVO BOCA CHICA,FILTROS,ACEITE,TECFIL,Sin Color,VARIOS,PESADA,0,12
TEC PSL-909,"FILTRO DE LUBRICANTE VW, FORD CUMMINS 6CTA",FILTROS,ACEITE,TECFIL,Sin Color,VARIOS,PESADA,0,6
TEC PSL-615,FILTRO SELLADO PARA ACEITE LUBRICANTE GM CAPTIVA 3.6 2008>,FILTROS,ACEITE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC PSL-657,FIAT: DUCATO 2.3 8V DE 2009> - N� Original FIAT: 8094872,FILTROS,ACEITE,TECFIL,Sin Color,VARIOS,LIVIANA,0,12
TEC ASR-470,FILTRO DE AIRE SECUNDARIO DEL ARS-5470,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,PESADA,0,1
TEC ASR-725,ELEM. FIL. DE AIRE SINOTRUCK  Primario ARS9725,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,PESADA,0,1
TEC AS-605,FILTRO DE AIRE SECUNDARIO CATERPILLAR - CASE Fora de Linha,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,AGRICOLA,0,0
TEC ARS-5470,MASSEY FERGUSON: COLHEITADEIRAS 38 DE 2001> E 8780 DE 2000>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,AGRICOLA,0,1
TEC ASR-533,NEW HOLLAND � Filtro prim�rio: ARS1533,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,AGRICOLA,0,1
TEC ASR-234,AGRALE/DEUTZ:MARRUA AM100E Y AM150E DE 2007>USAR CON ARS8234,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,AGRICOLA,0,1
TEC ARS-1533,FILTRO AIRE NEW HOLLAND - SECUDARIO ASR-533,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,AGRICOLA,0,1
TEC ASR-889,ELEMENTO FILTRANTE DE AIRE INT.ARS-8889 NEW HOLLAND,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,AGRICOLA,0,1
TEC ARL-1654,ELEMENTO FILTRANTE DE AIRE NISSAN TIIDA 1.8 FLEX 16V,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ACP-820,FILTRO DE AIRE ACOND. RENAULT DUSTER 1.6 e 2.0 2011>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,0
TEC ACP-206,FILTRO DE AIRE FORD FOCUS 2010 16V MOT FLEX 2010 >,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ACP-818,FILTRO DE AIRE ACOND. SSANGYONG ACTYON-KYRON de 2006>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,24
TEC ACP-819,FILTRO DE AIRE ACOND. FIAT 500 1.4 2009>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,12
TEC AR-1017,ELEMENTO FILTRANTE DE AIRE KIA K2700 2005->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,1
TEC AR 7704,ELEMENTO FILTRANTE RENAULT CLIO KANGOO 1997->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,0
TEC ARL-3751,ELEMENTO FILTRANTE DE AIRE M.BENZ SPRINTER 2012->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ARL-2332,ELEMENTO FILTRANTE DE AIRE HYUNDAI SANTA FE 2.7 V6 2006/11,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ARL-5303,ELEMENTO FILTRANTE DE AIRE DODGE RAN 2010-> Fora de Linha,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,0
TEC ARL-2335,HYUNDAI VERACRUZ 3.8 2007 ->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ARL-1655,ELEMENTO FILTRANTE DE AIRE NISSAN MARCH 1.6 VERSA 1.6 2011 >,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC AP-4736,FILTRO DE AIRE JOHN DEERE Fora de Linha,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,0
TEC ACP-104,FILTRO DE AIRE FIAT E-TORKE 2011 MOT 1.8 16V / 8V,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC AR-1018,ELEMENTO FILTRANTE DE AIRE KIA K2500 2007->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,1
TEC ACP-814,FILTRO DE AIRE ACOND. KIA SPORTAGE 2.0 16 FLEX/NAF DE 2011>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,12
TEC ARS-2870,ELEMENTO FILTRANTE DE AIRE GM S10 2.4 FLEX 2.8 DIESEL 2012->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,1
TEC ARL-8830,ELEMENTO FILTRANTE DE AIRE GM ONIX 2012->,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ARL-6071,ELEMENTO FILTRANTE DEL AIRE VW: FOX 1.0 2013>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
TEC ARS-7994,ELEMENTO FILTRANTE DE AIRE FORD RANGER 2.2TD,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,1
TEC ACP-906,FILTRO DE AIRE ACOND.FIAT UNO 1.0 Y 1.4 EVO 2010>,FILTROS,AIRE,TECFIL,Sin Color,VARIOS,LIVIANA,0,12
TEC PSD-260,F.Comb.Volvo: FH12 340 y FH12 380 con motor D12D de 01/03>,FILTROS,COMBUSTIBLE,TECFIL,Sin Color,VARIOS,PESADA,0,6
TEC PSD-980/1,FILTRO SELLADO DE COMBUSTIBLE VW CAMIONES AUTOBUS MOT.CUMMIN,FILTROS,COMBUSTIBLE,TECFIL,Sin Color,VARIOS,PESADA,0,6
TEC FBT-2350,F. COMBUSTIBLE HYUNDAI SANTA FE 311122B000 Fora de Linha,FILTROS,COMBUSTIBLE,TECFIL,Sin Color,VARIOS,LIVIANA,0,0
TEC PSC-403,"FILTRO DE COMB. IVECO/ MB SPRINTER 313,415, MOT 2.2 CDI",FILTROS,COMBUSTIBLE,TECFIL,Sin Color,VARIOS,LIVIANA,0,6
FIL HU816,FILTRO DE AC. BMW,FILTROS,Sin Grupo,TECFIL,Sin Color,VARIOS,Sin linea,0,0
TEC ART-8826,ELEMENTO FILTRANTE DE AIRE GM CAPTIVA 2.8 Y 3.6 2008,FILTROS,Sin Grupo,TECFIL,Sin Color,VARIOS,Sin linea,0,0
TEC PEL-120,ELEMENTO F.ACEITE NEW GM NUEVO CORSA 1.8 16V DE 09/00>.,FILTROS,ACEITE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC ARS-9725,ELEM. FIL. DE AIRE SINOTRUCK WG9725190102,FILTROS,AIRE,TECFIL,AUDI,OM366,PESADA,0,1
TEC ARL-6073,ELEMENTO DE AIRE - NEW VW: Tiguan 2.0 TSI 2010>.,FILTROS,AIRE,TECFIL,AUDI,OM366,LIVIANA,0,6
TEC ACP-975,FILTRO DE AIRE CAB.KIA SORENTO DE 2004>971332E910,FILTROS,AIRE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC FBT-2359,FILTRO SELLADO DE COMBUSTIBLE - NEW,FILTROS,COMBUSTIBLE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC PEC-3029,F.Comb. GM: S10 2.8 TDCI (Nueva) de 2012>,FILTROS,COMBUSTIBLE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC FBT-2360,FILTRO SELLADO DE COMB.HYUNDAI: i30 2.0 16V DE 2008>,FILTROS,COMBUSTIBLE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC FBT-2354,FIL.TANQUE DE COMB.KIA: PICANTO 1.0 y 1.1 DE 2006,FILTROS,COMBUSTIBLE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC FBT-2351,FILTRO TANQUE DE COMB.TOY. COROLLA 1.6 e 1.8 de 02-07,FILTROS,COMBUSTIBLE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC FBT-2355,FIL. TANQUE DE COMB.TOY: 2330028030 Allion/Avensis/Prem,FILTROS,COMBUSTIBLE,TECFIL,AUDI,OM366,LIVIANA,0,12
TEC PEL-672,FILTRO DE ACEITE VW TOUAREG 3.6 2007-> Fora de Linha,FILTROS,ACEITE,TECFIL,VALMET,VARIOS,LIVIANA,0,0
