Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,APLICACION,MODELO,GRUPO,LINEA,PESO,VOLUMEN
FAG 20K GRASA,GRASA 20 KILOS AZUL,LUBRICANTES,FAG,Sin Color,VARIOS,LUBRI,PESADA,0,0
FAG 1K GRASA,GRASA 1 KILO AZUL,LUBRICANTES,FAG,Sin Color,VARIOS,LUBRI,PESADA,0,0
L4160550-1L,ACEITE ESSO ATF D-22079(DEXRON II)-LITRO,LUBRICANTES,NAKATA,Sin Color,VARIOS,OTROS,Sin linea,0,0
L3432685-20L,ACEITE NUTO H68,LUBRICANTES,NAKATA,Sin Color,VARIOS,OTROS,Sin linea,0,0
L225RS-61A50,KIT SEPARADOR DE AGUA,LUBRICANTES,NAKATA,Sin Color,VARIOS,OTROS,Sin linea,0,0
L3451002-205L,ACEITE FEBIS K68,LUBRICANTES,NAKATA,Sin Color,VARIOS,OTROS,Sin linea,0,0
L4126102-205L,ACEITE TORQUEFLUID 56,LUBRICANTES,NAKATA,Sin Color,VARIOS,OTROS,Sin linea,0,0
VAL VV824,VALVOLINE CAJA HP GEAR OIL 85W140 4x4GALON,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,FRENOS,Sin linea,0,"3,78"
VAL OCT-12,VALVOLINE TRATAMIENTO PARA OCTANO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,LUBRI,Sin linea,0,0
VAL DFT-12,VALVOLINE TRATAMIENTO PARA DIESEL,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,LUBRI,Sin linea,0,0
VAL 24VA21403,VALVOLINE 15W40 1L.TURBO DIESEL BR,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,LYO,Sin linea,0,0
VAL 24VA11703,VALVOLINE 20W50 1L.PREMIUM BR,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,LYO,Sin linea,0,0
VAL 24VA31453,VALVOLINE SAE 90 GL-5 1L.HP GEAR OIL,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,LYO,Sin linea,0,0
VAL 601458,VALVOLINE FLUIDO FRENO DOT3&4 SINT,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,LYO,Sin linea,0,0
VAL AP-16,CARAMBA PENETRATING OIL VALVOLINE,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,OTROS,Sin linea,0,0
VAL VV746,VALVOLINE 2T STROCKE MC OIL SOLO MOTO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,LIVIANA,0,"0,946"
VAL VV461,VALVOLINE 2 CYCLE MULTIPURPOSE 1Lx12 UNID,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,LIVIANA,0,"0,946"
VAL BF-12,FLUIDO FRENO DOT3 PYROIL-354 ML,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,355"
VAL VV161,VALVOLINE MAX LIFE 20W50 1Lx12 UNID,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV370,VALVOLINE FLUIDO ATF DEXTRON VI,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV174,VALVOLINE MOTOR OIL 5W20 LITRO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV179,VALVOLINE SINTETICO MAX LIFE 5W30  1Lx6 UNID,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL 773520,VALVOLINE CONVENTIONAL 10W40 4x3 GALON,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"3,78"
VAL VV749,"VALVOLINE ATV 4-STROKE SAE 10W40 0,946 L",LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV311,VALVOLINE DURABLEND 20W50 1x6,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV945,VALVOLINE SYNPOWER 20W50 1Lx6,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV211,VALVOLINE RACING  20W50 1Lx12 UNID,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL 679082,VALVOLINE VR1 SYN. RACING 20W50 X 0.946,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV855,VALVOLINE SPECIALTY RAC.SINT 20W50 1Lx12 UNID,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV280,VALVOLINE DURABLEND 80W90 1Lx12,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL VV70228,VALVOLINE HID AW ISO 68,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,208
VAL VV982,VALVOLINE SYNPOWER 75W140 HP 1Lx12,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
VAL 705233,VALVOLINE CVT FLUID X 0.946L NS2- correa,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,ANVASE,Sin linea,0,"0,946"
