Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
PUBLICIDAD,CREDITO CONCEDIDO P/PUBLICIDAD (ITOCHU),MARKETING,OTROS,NAKATA,Sin Color,VARIOS,Sin linea,0,0
WYN 05100,MAQUINA LIMPIADORA DE DIF.,MARKETING,WYNNPROF,NAKATA,Sin Color,VARIOS,Sin linea,0,0
MKT 247,EXHIBIDOR DAYCO,MARKETING,MOTOR,DAYCO,Sin Color,VARIOS,LIVIANA,0,0
VAL ENV 2,ENVASE VACIO 85W140,MARKETING,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
MKT 836581,EXHIBIDORES PARA ESCOBILLAS VALVOLINE,MARKETING,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
SPA 07793,MEMBRANA ROBOT BOMBA INYECTORA SC SPACO,MARKETING,MOTOR,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 361,YERBA 250 GR PAJARITO PROMO FILTROS (5%),MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 40,"EXHIBIDOR RAIDEN DE METAL 1,16x0,90 MTS",MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 60,TERMO DE TERERE BEPO,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 88,MINI TOTEM VALVOLINE,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 79,"TOALLA PARA ROSTRO BLANCA FAG, INA",MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 272,PLAY DOH PACK TUBE,MARKETING,MERCHANDISING,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 300,FAMOSA PINYPON MU�ECA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 305,CANASTO CON FRUTAS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 302,CARPA PELOTERO AUTO NI�AS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 304,PELOTERO PLAY TENT SIN PELOTAS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 282,FUNTIME EMERGENCI TRUCK,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 296,HASBRO IRON MAN MASCARA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 297,HASBRO TONKA PLATAFORMA DE LANZAMIENTOS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 275,HOT WHEELS KIT DE ACCESORIOS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 301,TAPETE GOMA EVA NUMEROS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 283,VASO DISNEY,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 273,MATTEL BARBIE BEACH BARBIE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 298,HASBRO MLP PRINCESA CADENCE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 299,HASBRO MLP PRINCESA TWILIGT,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 276,CARS SET DE BA�O,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 277,SET DE BELLEZA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 281,MAISO MOTORS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 279,TOURAREG,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 274,MATTEL HW MAX STEEL DECAST,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 264,MOCHILA FEBI 90776,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 90234,BLOQUE DE NOTAS A6 FEBI,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 150,CATALOGOS PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V7013,MKT KIT HERRAMIENTAS VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V8010,MKT MOCHILA VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4124,MKT BANDERA VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4031,MKT KEPIS VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V8036,MKT SOMBRILLA VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4134,MKT LINTERNA VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V4058,MKT PLATO VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
VAL V5251,MKT LLAVERO VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 99,T-SHIRT PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 70,TOALLA PARA ROSTRO YHAGUY,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 90,KIT DE CUBIERTOS PARA ASADO CHICO,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 41,EXHIBIDOR VALVOLINE DE METAL STD,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 51,LLAVERO ABRIDOR EXPO AMAMBAI,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 71,TOALLA PARA MANOS YHGAUY,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 81,PORTA CD HELIAR,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 91,MATRIZ PARA LLAVERO,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 02,LLAVEROS COLGANTES VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 42,TERMO TERERE FRUM,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 52,FRANELA EXPO AMAMBAI,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 62,EXHIBIDOR VALVOLINE  MEDIANO,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 03,REMERAS NEGRAS GT RADIAL,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 43,CAMPERA AVIADOR VALVOLINE PARA EVENTOS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 53,KEPI IMPRESO RALLY 2011,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 63,EXHIBIDOR VALVOLINE GRANDE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
