Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,APLICACION,MODELO,GRUPO,LINEA,PESO,VOLUMEN
BEP M047C,SOPORTE ESPEJO PICUDO PLASTICO EL JGO D/E,REPUESTOS,BEPO,MERCEDES BENZ,1620,ACCESORIOS,PESADA,0,0
CIP 436483,MANGUERA RADIADOR SC K113 CURVO,REPUESTOS,CIPEC,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CIP 1858884,POLEA TENSOR SC SERIE4 ESTRIADO/ACANALADO,REPUESTOS,CIPEC,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CIP 1858885,POLEA TENSOR CORREA SC124 LISO CHICO SOLO,REPUESTOS,CIPEC,SCANIA,124,Sin Grupo,PESADA,0,0
DIE 1427793,REPARO GATO CABINA SC124 C/PISTON,REPUESTOS,VARGA,MERCEDES BENZ,OM366,MYF,PESADA,0,0
MB JV 005,REPARO PERNO PUNTA EJE S/PERNO M/N,REPUESTOS,VARGA,MERCEDES BENZ,OM366,MYF,PESADA,0,0
TOYO-16911,REPARO HORQUILLA EMBRAGUE ZF 1618/1620,REPUESTOS,VARGA,MERCEDES BENZ,OM366,MYF,PESADA,0,0
SC BRD2872,REPARO MORDAZA 124 PERNO COR/LAR GUARD,REPUESTOS,VARGA,MERCEDES BENZ,OM366,MYF,PESADA,0,0
SC-1427793.2,REPARO GATO ALZA CABINA SC 124 IMPORTADO,REPUESTOS,VARGA,MERCEDES BENZ,OM366,MYF,PESADA,0,0
MAXG MX1422,REPARO DIF. 1114/1214/1218  MX1422-0602�,REPUESTOS,VARGA,MERCEDES BENZ,OM366,MYF,PESADA,0,0
ENG 405743,CATRACA CARRETA 10D 2 AGUJEROS,REPUESTOS,ENGATCAR,SCANIA,CARRETA,FRENOS,PESADA,0,0
CR-106,PIVOT CENTRAL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
FRA FD 88 XX,FIBRA FRASLE 88XX,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MERC 002,KIT SEGURO RULEMAN,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN-3626,MANGUERA 3/4 NEGRA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
KAT-002,EJE VELOCIMETRO M/N,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
KAT-001,EJE VELOCIMETRO M/V,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MOG 250 1,MANGUERA OLEO/GRASA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT-57003,MANGUERA FORRADA 3mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT-57005,MANGUERA FORRADA 5mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT-57007,MANGUERA FORRADA 7mm,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
