Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
ARE 20627,PERFUME AREON HOJAS DRY OCEANO,RETAIL SHOP,ACCESORIOS,NAKATA,Sin Color,VARIOS,Sin linea,0,0
SILI CAR-10504,SILICONA P/TABLERO CARIBE EN AEROSOL 260g SILISUR,RETAIL SHOP,ACCESORIOS,NAKATA,Sin Color,VARIOS,Sin linea,0,0
VALV10007,TOHALLAS VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV4124,BANDERA VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV11044,BOLIGRAFOS VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV12054,KEPIS VALVOLINE AZUL,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV12053,KEPIS VALVOLINE GRIS,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV12050,KEPIS VALVOLINE VERDE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV00006,BOLSON AZUL VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV4134,LINTERNITAS VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV10040,KEPIS VALVOLINE MARRON,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV11079,PORTA TARJETA VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV12047,ENVASE TERMICO VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV8002,TAMBOR DE GOMA VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV4012,LAPIZ DE PAPEL VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV4016,CUBRE CUBIERTAS VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV00007,MALETIN PLATEADO VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV8001,SILLAS PLEGABLES VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
VALV11031,BOLSITAS DE GOLF VALVOLINE,RETAIL SHOP,Sin Grupo,VALVOLINE,Sin Color,VARIOS,Sin linea,0,0
