Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
WAB 449.672.060.0,CABLE DIAGNOSTICO DE ESTABILIDAD,SERVICIOS,ACCESORIOS,WABCO,MULTIPLES,VARIOS,PESADA,0,0
@SER-ROT,SERV. DE ROTACION CUBIERTAS,SERVICIOS,OTROS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
SER-001,SERVICIOS,SERVICIOS,OTROS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
MB-ALL,ALINEACION LIVIANOS,SERVICIOS,SERVICIOS,NAKATA,Sin Color,VARIOS,Sin linea,0,0
@SER-AUXILIO,SERVICIO DE AUXILIO,SERVICIOS,SERVICIOS,NAKATA,Sin Color,VARIOS,Sin linea,0,0
@DELIVERY,DELIVERY,SERVICIOS,OTROS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
MB-BAL,BALANCEO TODOS,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-LAVADO,LAVADO VEHICULO,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-PULIDO,PULIDO VEHICULO,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-PRES,SERVICIO DE FLETE,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
MB-SERV,SERVICIO DE GOMERIA,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-TAPIZADO,LIMPIEZA DE TAPIZADO,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-BAL,SERVICIO DE BALANCEO,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-MANT,SERVICIO DE MANTENIMIENTO,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-ARM,SERVICIO DE ARMADO/DESARMADO CUBIERTA,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-REP,SERVICIO DE REPARACION Y MONTAJE CUBIERTA,SERVICIOS,SERVICIOS,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-AL,SERVICIO DE ALINEACION,SERVICIOS,Sin Grupo,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
@SER-NITRO,SERVICIO DE CARGA DE NITROGENO,SERVICIOS,Sin Grupo,YHAGUY SERVI,Sin Color,VARIOS,Sin linea,0,0
