Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,4.253,Compras  CREDITO,12/1/2017,12/1/2017,1232290,1232290,58348
YHAGUY BATERIAS S.A.,4.257,Compras  CREDITO,12/1/2017,12/1/2017,3450173,3450173,58348
YHAGUY BATERIAS S.A.,4.268,Compras  CREDITO,12/1/2017,12/1/2017,15767160,15767160,58348
YHAGUY BATERIAS S.A.,4.326,Compras  CREDITO,14/1/2017,14/1/2017,1324563,1324563,58348
YHAGUY BATERIAS S.A.,4.334,Compras  CREDITO,16/1/2017,16/1/2017,2361393,2361393,58348
YHAGUY BATERIAS S.A.,4.339,Compras  CREDITO,16/1/2017,16/1/2017,699908,699908,58348
YHAGUY BATERIAS S.A.,4.359,Compras  CREDITO,16/1/2017,16/1/2017,3488400,3488400,58348
YHAGUY BATERIAS S.A.,4.364,Compras  CREDITO,16/1/2017,16/1/2017,22639109,22639109,58348
YHAGUY BATERIAS S.A.,4.444,Compras  CREDITO,18/1/2017,18/1/2017,1305595,1305595,58348
YHAGUY BATERIAS S.A.,4.442,Compras  CREDITO,18/1/2017,18/1/2017,1230158,1230158,58348
YHAGUY BATERIAS S.A.,4.484,Compras  CREDITO,19/1/2017,19/1/2017,14100480,14100480,58348
YHAGUY BATERIAS S.A.,4.489,Compras  CREDITO,19/1/2017,19/1/2017,2422908,2422908,58348
YHAGUY BATERIAS S.A.,4.491,Compras  CREDITO,19/1/2017,19/1/2017,1580000,1580000,58348
YHAGUY BATERIAS S.A.,4.548,Compras  CREDITO,20/1/2017,20/1/2017,6846055,6846055,58348
YHAGUY BATERIAS S.A.,4.601,Compras  CREDITO,23/1/2017,23/1/2017,1627275,1627275,58348
YHAGUY BATERIAS S.A.,4.606,Compras  CREDITO,23/1/2017,23/1/2017,13462915,13462915,58348
YHAGUY BATERIAS S.A.,4.633,Compras  CREDITO,24/1/2017,24/1/2017,11401008,11401008,58348
YHAGUY BATERIAS S.A.,4.658,Compras  CREDITO,25/1/2017,25/1/2017,9872209,9872209,58348
YHAGUY BATERIAS S.A.,4.686,Compras  CREDITO,25/1/2017,25/1/2017,2433326,2433326,58348
YHAGUY BATERIAS S.A.,4.722,Compras  CREDITO,26/1/2017,26/1/2017,2539985,2539985,58348
YHAGUY BATERIAS S.A.,4.799,Compras  CREDITO,27/1/2017,27/1/2017,6846055,6846055,58348
YHAGUY BATERIAS S.A.,4.803,Compras  CREDITO,27/1/2017,27/1/2017,9398310,9398310,58348
YHAGUY BATERIAS S.A.,4.798,Compras  CREDITO,27/1/2017,27/1/2017,8938391,8938391,58348
YHAGUY BATERIAS S.A.,4.874,Compras  CREDITO,31/1/2017,31/1/2017,22464008,22464008,58348
YHAGUY BATERIAS S.A.,4.897,Compras  CREDITO,31/1/2017,31/1/2017,835224,835224,58348
YHAGUY BATERIAS S.A.,4.909,Compras  CREDITO,31/1/2017,31/1/2017,11707745,11707745,58348
YHAGUY BATERIAS S.A.,4.951,Compras  CREDITO,2/2/2017,2/2/2017,267889,267889,58348
YHAGUY BATERIAS S.A.,4.955,Compras  CREDITO,2/2/2017,2/2/2017,535778,535778,58348
YHAGUY BATERIAS S.A.,4.959,Compras  CREDITO,2/2/2017,2/2/2017,1912817,1912817,58348
YHAGUY BATERIAS S.A.,4.995,Compras  CREDITO,3/2/2017,3/2/2017,14644690,14644690,58348
YHAGUY BATERIAS S.A.,5.129,Compras  CREDITO,8/2/2017,8/2/2017,11278773,11278773,58348
YHAGUY BATERIAS S.A.,5.155,Compras  CREDITO,9/2/2017,9/2/2017,7608580,7608580,58348
YHAGUY BATERIAS S.A.,5.151,Compras  CREDITO,9/2/2017,9/2/2017,11334821,11334821,58348
YHAGUY BATERIAS S.A.,5.240,Compras  CREDITO,10/2/2017,10/2/2017,1944825,1944825,58348
YHAGUY BATERIAS S.A.,5.326,Compras  CREDITO,13/2/2017,13/2/2017,2860000,2860000,58348
YHAGUY BATERIAS S.A.,5.324,Compras  CREDITO,13/2/2017,13/2/2017,11230915,11230915,58348
YHAGUY BATERIAS S.A.,5.343,Compras  CREDITO,14/2/2017,14/2/2017,14983380,14983380,58348
YHAGUY BATERIAS S.A.,5.344,Compras  CREDITO,14/2/2017,14/2/2017,1640000,1640000,58348
YHAGUY BATERIAS S.A.,5.387,Compras  CREDITO,15/2/2017,15/2/2017,14404340,14404340,58348
YHAGUY BATERIAS S.A.,5.454,Compras  CREDITO,16/2/2017,16/2/2017,2412461,2412461,58348
YHAGUY BATERIAS S.A.,5.482,Compras  CREDITO,17/2/2017,17/2/2017,5104386,5104386,58348
YHAGUY BATERIAS S.A.,5.538,Compras  CREDITO,20/2/2017,20/2/2017,5797000,5797000,58348
YHAGUY BATERIAS S.A.,5.549,Compras  CREDITO,20/2/2017,20/2/2017,496091,496091,58348
YHAGUY BATERIAS S.A.,5.536,Compras  CREDITO,20/2/2017,20/2/2017,905000,905000,58348
YHAGUY BATERIAS S.A.,5.616,Compras  CREDITO,22/2/2017,22/2/2017,12507900,12507900,58348
YHAGUY BATERIAS S.A.,5.689,Compras  CREDITO,24/2/2017,24/2/2017,6685068,6685068,58348
YHAGUY BATERIAS S.A.,5.766,Compras  CREDITO,28/2/2017,28/2/2017,3423027,3423027,58348
YHAGUY BATERIAS S.A.,5.764,Compras  CREDITO,28/2/2017,28/2/2017,4358791,4358791,58348
YHAGUY BATERIAS S.A.,5.763,Compras  CREDITO,28/2/2017,28/2/2017,19103780,19103780,58348
YHAGUY BATERIAS S.A.,5.796,Compras  CREDITO,28/2/2017,28/2/2017,12718215,12718215,58348
YHAGUY BATERIAS S.A.,5.834,Compras  CREDITO,1/3/2017,1/3/2017,14299091,14299091,58348
YHAGUY BATERIAS S.A.,5.825,Compras  CREDITO,1/3/2017,1/3/2017,4448976,4448976,58348
YHAGUY BATERIAS S.A.,5.924,Compras  CREDITO,3/3/2017,3/3/2017,1908235,1908235,58348
