Empresa,Yhaguy,
,,
CODIGO,DESCRIPCION,ALIAS
CT-0000079,PROVEEDORES VARIOS,CT-PR-VA
CT-0000080,CLIENTES VARIOS,CT-CL-VA
CT-0000081,CLIENTES OCASIONALES,CT-CL-OC
CT-0000082,IVA 10% CREDITO FISCAL,CT-IV-10-CR-FI
CT-0000083,IVA 5% CREDITO FISCAL,CT-IV-5-CR-FI
CT-0000084,RETENCION IVA,CT-RETE-IVA
CT-0000095,BANCO ITAU,CT-BANCO-ITAU-BAT
CT-0000096,BANCO CONTINENTAL,CT-BANCO-CONTINENTAL-BAT
CT1419,GASTOS PARA EVENTOS IVA 10%,CT1419
CT1137,IMPORTACION EN CURSO - IVA 10%,CT1137
CT1138,IMPORTACION EN CURSO - EXENTA,CT1138
CT1122,COMBUSTIBLES - VENTAS,CT1122
CT1235,GASTOS DE DESESTIBA- EXENTAS,CT1235
CT1228,MANTENIMIENTO VEHICULO-EXENTA,CT1228
CT 1008,GASTOS DE PEAJE,CT 1008
CT1012,FOTOCOPIAS,CT1012
CT1412,MOTO LEOPARD MD 125 AÑO 2011 CHASIS N°,CT1412
CT1169,MANTENIMIENTO VEHICULO MOTO SUC. 4 AGE 764,CT1169
CT1043,PASAJES,CT1043
CT1046,ALQUILERES PAGADOS (IVA 5%),CT1046
CT1139,TASAS DE DESINFECCION - EXENTA,CT1139
CT1044,CUOTAS Y SUSCRIPCIONES (IVA 10%),CT1044
CT1013,VIATICOS Y PASAJES AL EXTERIOR(EXENTA),CT1013
CT1014,VIATICOS Y PASAJES AL EXTERIOR(10%),CT1014
CT1015,ESCOPETA MAVERICK CAL.12(10%),CT1015
CT1016,CARTUCHO 12 PALOM.,CT1016
CT1017,REGISTRO DE ARMAS,CT1017
CT1420,GASTOS PARA EVENTOS IVA 5 %,CT1420
CT1219,PASAJES - VIATICO IVA 10%,CT1219
CT1018,JGO. FUENTE REGALO DIA DE LA MADRE(10%),CT1018
CT1019,SERVICIO DE ALMUERZO FUNCIONARIOS(10%),CT1019
CT1020,GASTOS DE PUBLICIDAD(10%),CT1020
CT1021,GASTOS REGALOS DE FUNCIONARIOS  (10%),CT1021
CT1108,MANTENIMIENTO VEHICULO -DAEVO ADD906,CT1108
