Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
NUCLEO SA,706,Gastos Credito,01/03/2018 00:00:00,02/02/2018 00:00:00,194999,194999,63018
NUCLEO SA,139547,Gastos Credito,05/08/2017 00:00:00,06/07/2017 00:00:00,50000,50000,63018
NUCLEO SA,146170,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,80001,80001,63018
NUCLEO SA,146554,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146555,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146556,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146557,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146558,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146560,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146561,Gastos Credito,05/18/2017 00:00:00,06/17/2017 00:00:00,20000,20000,63018
NUCLEO SA,146700,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,75000,75000,63018
NUCLEO SA,146701,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146702,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146704,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146705,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146706,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146707,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146710,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146711,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146713,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146714,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146716,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146717,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,146718,Gastos Credito,05/19/2017 00:00:00,06/18/2017 00:00:00,60000,60000,63018
NUCLEO SA,148540,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,60001,60001,63018
NUCLEO SA,148541,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,60001,60001,63018
NUCLEO SA,148542,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,60001,60001,63018
NUCLEO SA,148544,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,60001,60001,63018
NUCLEO SA,148547,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,60001,60001,63018
