Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
     SC1363674/1,150000,
 EAT 3341033,31400,
11090,75000,
1457896,331600,
17801-11090,31400,
24501,0,
281130800008,0,
3-RHO,42000,
3-RHO 3370,25900,
34532,0,
3=RHO 4417,63400,
414RP,1700,
415RP,3400,
51514,0,
54001,0,
581014HA01,0,
64101,0,
65265,0,
86247Z H11-55 W,73400,
A-0139972646,85100,
A-0249972747,98300,
A-240,384000,
A-243,349100,
A-9702605231,1548800,
A-9702610333,96800,
ABR 1,4000,
ABR 1 1/2,4500,
ABR 1 1/4,2400,
ABR 1 3/4,2200,
ABR 1/2,2300,
ABR 1/4,2500,
ABR 12-20,0,
ABR 1307817,114400,
ABR 1391051,58800,
ABR 1439825,80900,
ABR 1466082,21200,
ABR 1674848,0,
ABR 1675932,38400,
ABR 1677497,23500,
ABR 2,2900,
ABR 2 1/2,3100,
ABR 2 1/4,5500,
ABR 20-32,0,
ABR 249970,0,
ABR 273792,18400,
ABR 298076,48700,
ABR 3,5300,
ABR 3 1/2,4400,
ABR 3 1/4,3800,
ABR 3 3/4,4300,
ABR 3/4,1000,
ABR 3/8,3400,
ABR 30-40,0,
ABR 308275,142100,
ABR 308278,142200,
ABR 308782,66700,
ABR 318541,37600,
ABR 32-50,0,
ABR 324688,5900,
ABR 324689,5900,
ABR 328928,33000,
ABR 35-50,0,
ABR 357734,234300,
ABR 370798,0,
ABR 384.995.7010,6400,
ABR 4 1/2,5500,
ABR 4 1/4,4700,
ABR 40-60,0,
ABR 4457,0,
ABR 475499,53200,
ABR 5/16,2500,
ABR 5/8,1300,
ABR 50-70,0,
ABR 7/8-1/4,4200,
ABR 702-151,0,
ABR 702-161,0,
ABR 796363,24400,
ABR 8-16,0,
ABR 813933,2600,
ABR 813938,4900,
ABR 813939,5100,
ABR 813941,5600,
ABR 911,0,
ABRO MF390,29200,
AC-1000,5000,
ACC 296028,67600,
ACO 322.260.0075,83400,
ADR 200216,96700,
AFLEX 3/8,14200,
AIR 110222,202100,
AIR 111642,145300,
AIR 111722,250100,
AIR 111732,194600,
AIR 111742,206400,
AIR 111792,431100,
AIR 120332,587700,
AIR 121201,258600,
AIR 123062,400000,
AIR 135632,786700,
AIR 136102,833000,
AIR 1363122,260700,
AIR 136322,572000,
AIR 136352,816300,
AIR 136422,921500,
AIR 140070,176300,
AIR 140134,305700,
AIR 140242,365600,
AIR 143081,524900,
AIR 1440294,1183400,
AIR 1444026,534700,
AIR 170005,170500,
AIR 1700052,166900,
AIR 201180K,0,
AIR 335320,336500,
AIRPL AP-225,583400,
ALE 10 C45,2100,
ALE 10 C90,3300,
ALE 6 C,4000,
ALE 8 C45,4500,
ALE 8 C90,4000,
ALE 8 R,2500,
ALE 90L,4200,
ALK 1/2,200,
ALT 468116,1533400,
ALU 1313,200,
AM-01,0,
AM-010,0,
AMA 1001 D,195000,
AMA 1001 E,95000,
AMA 1008,427500,
AMA 1017,92200,
AMA 1030,156000,
AMA 1031 D,25600,
AMA 1031 E,25600,
AMA 1034 D,0,
AMA 1034 E,0,
AMA 1044,25100,
AMA 1050,713700,
AMA 1063,154700,
AMA 1064 D,28900,
AMA 1064 E,28900,
