Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
ASEGURADORA DEL ESTE S.A.,30542,Gastos Credito,01/11/2018 00:00:00,02/10/2018 00:00:00,"800000,182","800000,182",9274
ASEGURADORA DEL ESTE S.A.,33037,Gastos Credito,02/02/2018 00:00:00,03/04/2018 00:00:00,"480000,455","480000,455",9274
ASEGURADORA DEL ESTE S.A.,33036,Gastos Credito,02/02/2018 00:00:00,03/04/2018 00:00:00,"480000,455","480000,455",9274
ASEGURADORA DEL ESTE S.A.,33185,Gastos Credito,02/05/2018 00:00:00,03/07/2018 00:00:00,"3725199,909","3725199,909",9274
ASEGURADORA DEL ESTE S.A.,37056,Gastos Credito,03/08/2018 00:00:00,04/07/2018 00:00:00,"1380000,455","1380000,455",9274
ASEGURADORA DEL ESTE S.A.,37053,Gastos Credito,03/08/2018 00:00:00,04/07/2018 00:00:00,1336500,1336500,9274
ASEGURADORA DEL ESTE S.A.,37057,Gastos Credito,03/08/2018 00:00:00,04/07/2018 00:00:00,660000,660000,9274
ASEGURADORA DEL ESTE S.A.,37259,Gastos Credito,03/12/2018 00:00:00,04/11/2018 00:00:00,"3899999,545","3899999,545",9274
ASEGURADORA DEL ESTE S.A.,37055,Gastos Credito,03/08/2018 00:00:00,04/07/2018 00:00:00,"644999,636","644999,636",9274
ASEGURADORA DEL ESTE S.A.,37058,Gastos Credito,03/08/2018 00:00:00,04/07/2018 00:00:00,"1950000,273","1950000,273",9274
ASEGURADORA DEL ESTE S.A.,37243,Gastos Credito,03/09/2018 00:00:00,04/08/2018 00:00:00,660000,660000,9274
ASEGURADORA DEL ESTE S.A.,37068,Gastos Credito,03/09/2018 00:00:00,04/08/2018 00:00:00,660000,660000,9274
ASEGURADORA DEL ESTE S.A.,40245,Gastos Credito,04/05/2018 00:00:00,05/05/2018 00:00:00,"1679999,545","1679999,545",9274
ASEGURADORA DEL ESTE S.A.,40250,Gastos Credito,04/05/2018 00:00:00,05/05/2018 00:00:00,880000,880000,9274
ASEGURADORA DEL ESTE S.A.,20,Gastos Credito,05/02/2018 00:00:00,06/01/2018 00:00:00,"1840000,364","1840000,364",9274
ASEGURADORA DEL ESTE S.A.,21,Gastos Credito,05/02/2018 00:00:00,06/01/2018 00:00:00,"1840000,364","1840000,364",9274
ASEGURADORA DEL ESTE S.A.,22,Gastos Credito,05/02/2018 00:00:00,06/01/2018 00:00:00,"1549999,545","1549999,545",9274
ASEGURADORA DEL ESTE S.A.,19,Gastos Credito,05/02/2018 00:00:00,06/01/2018 00:00:00,"1050000,273","1050000,273",9274
ASEGURADORA DEL ESTE S.A.,16,Gastos Credito,05/02/2018 00:00:00,06/01/2018 00:00:00,2636364,2636364,9274
ASEGURADORA DEL ESTE S.A.,3912,Gastos Credito,06/05/2018 00:00:00,07/05/2018 00:00:00,"1379999,727","1379999,727",9274
ASEGURADORA DEL ESTE S.A.,7395,Gastos Credito,07/05/2018 00:00:00,08/04/2018 00:00:00,"4409999,818","4409999,818",9274
ASEGURADORA DEL ESTE S.A.,7400,Gastos Credito,07/05/2018 00:00:00,08/04/2018 00:00:00,"3500000,364","3500000,364",9274
ASEGURADORA DEL ESTE S.A.,7450,Gastos Credito,07/05/2018 00:00:00,08/04/2018 00:00:00,"1889999,636","1889999,636",9274
ASEGURADORA DEL ESTE S.A.,7451,Gastos Credito,07/05/2018 00:00:00,08/04/2018 00:00:00,"1609999,727","1609999,727",9274
ASEGURADORA DEL ESTE S.A.,12250,Gastos Credito,08/16/2018 00:00:00,09/15/2018 00:00:00,"4000000,364","4000000,364",9274
ASEGURADORA DEL ESTE S.A.,12249,Gastos Credito,08/16/2018 00:00:00,09/15/2018 00:00:00,"4000000,364","4000000,364",9274
ASEGURADORA DEL ESTE S.A.,11652,Gastos Credito,08/10/2018 00:00:00,09/09/2018 00:00:00,"12528000,091","12528000,091",9274
ASEGURADORA DEL ESTE S.A.,11649,Gastos Credito,08/10/2018 00:00:00,09/09/2018 00:00:00,"2548800,091","2548800,091",9274
