Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
ROLE SOCIEDAD ANONIMA,9,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,27469,27469,68460
HENDRIK KOPERSHOEK A.,56,Gastos Contado,10/10/2018 00:00:00,10/11/2018 00:00:00,195000,195000,64054
AUTOMOVIL SUPPLY S.A.,146,Compras  CREDITO,09/24/2018 00:00:00,10/24/2018 00:00:00,579838,579838,850
ROLE SOCIEDAD ANONIMA,157,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,39398,39398,68460
"ROLON GALLAGHER, PAMELA NATHALIA",169,Gastos Contado,10/15/2018 00:00:00,10/16/2018 00:00:00,1582000,1582000,12831
GRAN VIA  DE VIELA S.A.,190,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,97750,97750,15182
VALVOLINE ARGENTINA S.A,485,Otros Gtos. IMP,09/25/2018 00:00:00,10/25/2018 00:00:00,18641642,18641642,1458
VALVOLINE ARGENTINA S.A,486,Otros Gtos. IMP,09/25/2018 00:00:00,10/25/2018 00:00:00,18641642,18641642,1458
MB AUTOCENTRO,632,Gastos Credito,09/14/2018 00:00:00,10/14/2018 00:00:00,400000,400000,62152
MB AUTOCENTRO,657,Gastos Credito,09/25/2018 00:00:00,10/25/2018 00:00:00,660000,660000,62152
MB AUTOCENTRO,658,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,150000,150000,62152
MB AUTOCENTRO,659,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,590000,590000,62152
MB AUTOCENTRO,660,Gastos Credito,10/02/2018 00:00:00,11/01/2018 00:00:00,100000,100000,62152
FINANCIERA RIO SAECA,730,Gastos Contado,09/12/2018 00:00:00,09/13/2018 00:00:00,46578088,46578088,13495
RECIBO COMUN,866,Boleta de Venta,09/13/2018 00:00:00,09/14/2018 00:00:00,3457630,3457630,11275
CHIPERIA MARIA ANA,885,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,18000,18000,9632
E.L.O. S.R.L.,891,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,19000,19000,9783
CAMARA VIAL PARAGUAYA,1030,Gastos Credito,10/03/2018 00:00:00,11/02/2018 00:00:00,1000000,1000000,35832
AUTOMOVIL SUPPLY S.A.,1198,Compras  CREDITO,09/28/2018 00:00:00,10/28/2018 00:00:00,"347545,8","347545,8",850
RETAIL SA -,1231,Gastos Contado,10/07/2018 00:00:00,10/08/2018 00:00:00,78761,78761,10010
DIESA S.A.,1322,Gastos Credito,09/06/2018 00:00:00,10/06/2018 00:00:00,978000,978000,9457
DIESA S.A.,1323,Gastos Credito,09/06/2018 00:00:00,10/06/2018 00:00:00,360000,360000,9457
AUTOMOVIL SUPPLY S.A.,1388,Gastos Credito,09/24/2018 00:00:00,10/24/2018 00:00:00,111985,111985,850
AUTOMOVIL SUPPLY S.A.,1389,Gastos Credito,09/24/2018 00:00:00,10/24/2018 00:00:00,101889,101889,850
CONFITERIA DON GUZMAN,1414,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,60000,60000,65034
AUTOMOVIL SUPPLY S.A.,1439,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,126231,126231,850
AUTOMOVIL SUPPLY S.A.,1444,Compras  CREDITO,09/28/2018 00:00:00,10/28/2018 00:00:00,506800,506800,850
AUTOMOVIL SUPPLY S.A.,1463,Compras  CREDITO,10/02/2018 00:00:00,11/01/2018 00:00:00,106400,106400,850
ZF SACHS ALEMANIA,1534,Proveedores Ext.,09/25/2018 00:00:00,10/25/2018 00:00:00,1271680016,1271680016,9831
OPEN DESIGN SRL,1978,Gastos Credito,09/05/2018 00:00:00,10/05/2018 00:00:00,"19310416,92","19310416,92",66439
OPEN DESIGN SRL,1986,Gastos Credito,09/13/2018 00:00:00,10/13/2018 00:00:00,3278000,3278000,66301
OPEN DESIGN SRL,1987,Gastos Credito,09/13/2018 00:00:00,10/13/2018 00:00:00,"7071469,9","7071469,9",66439
OPEN DESIGN SRL,1988,Gastos Credito,09/13/2018 00:00:00,10/13/2018 00:00:00,4125000,4125000,66301
OPEN DESIGN SRL,2005,Gastos Credito,10/02/2018 00:00:00,11/01/2018 00:00:00,"19511940,28","19511940,28",66439
PAMAQ S.A.,2017,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,145000,145000,9301
PAMAQ S.A.,2018,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,132000,132000,9301
PAMAQ S.A.,2019,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,452000,452000,9301
PAMAQ S.A.,2020,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,320000,320000,9301
RODOMAQ S.A,2073,Compras  CREDITO,09/17/2018 00:00:00,10/17/2018 00:00:00,3200000,3200000,55658
RODOMAQ S.A,2097,Compras  CREDITO,09/27/2018 00:00:00,10/27/2018 00:00:00,3200000,3200000,55658
RODOMAQ S.A,2124,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,6400000,6400000,55658
OIMA CAFE S.R.L,2137,Gastos Contado,10/10/2018 00:00:00,10/11/2018 00:00:00,63000,63000,68469
RVC SERVICIOS,2194,Gastos Contado,10/11/2018 00:00:00,10/12/2018 00:00:00,800000,800000,14060
COOPERATIVA UNIVERSITARIA LTDA,2204,Gastos Contado,09/30/2018 00:00:00,10/30/2018 00:00:00,33220,33220,9743
CAMPO GRANDE INGENIERIA DE OBRAS SRL,2310,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,120000,120000,63225
MULTISERVICIOS LA ROTONDA,2397,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,455000,455000,65005
MULTISERVICIOS LA ROTONDA,2398,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,765000,765000,65005
PUERTO SEGURO FLUVIAL S.A.,2660,Gastos de Import.,09/21/2018 00:00:00,10/21/2018 00:00:00,1250786,1250786,55063
EDITORIAL AZETA S.A.,2846,Gastos Credito,09/05/2018 00:00:00,10/17/2018 00:00:00,1501200,1501200,9833
CRISMAR S.A,2912,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,30000,30000,35872
BANCO DO BRASIL SA,3162,Gastos Contado,09/18/2018 00:00:00,09/19/2018 00:00:00,37880,37880,37402
BANCO DO BRASIL SA,3217,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,290556,290556,37402
BANCO DO BRASIL SA,3219,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,290556,290556,37402
BANCO DO BRASIL SA,3226,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,35599314,35599314,37402
ALVANIC S.A,3576,Gastos de Import.,09/20/2018 00:00:00,10/20/2018 00:00:00,1540000,1540000,67733
ALVANIC S.A,3577,Gastos de Import.,09/20/2018 00:00:00,10/20/2018 00:00:00,770000,770000,67733
ALVANIC S.A,3579,Gastos de Import.,09/24/2018 00:00:00,10/24/2018 00:00:00,1540000,1540000,67733
ALVANIC S.A,3586,Gastos de Import.,09/26/2018 00:00:00,10/26/2018 00:00:00,770000,770000,67733
YHAGUY REPUESTOS S.A.,3736,Autofactura,10/04/2018 00:00:00,10/11/2018 00:00:00,155000,155000,9310
AICOM S.A.,3818,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,21500,21500,68464
SOLUCION LOGISTICA S.A.,3820,Gastos de Import.,09/17/2018 00:00:00,10/17/2018 00:00:00,1361225,1361225,10731
SOLUCION LOGISTICA S.A.,3821,Gastos de Import.,09/17/2018 00:00:00,10/17/2018 00:00:00,589023,589023,10731
LUMINOTECNIA SA,3914,Gastos Credito,10/15/2018 00:00:00,11/14/2018 00:00:00,78498,78498,1352
ELECTROPAR S.A.,4202,Gastos Credito,10/02/2018 00:00:00,11/01/2018 00:00:00,1648727,1648727,1190
FONO BURGUER I,4261,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,51000,51000,41751
UNIVERSIDAD TECNICA DE COMERCIALIZACION Y DESARROL,4567,Gastos Contado,09/07/2018 00:00:00,09/08/2018 00:00:00,185000,185000,9633
MERCEPAR REPUESTOS S.A.,4710,Compras  CREDITO,09/18/2018 00:00:00,10/18/2018 00:00:00,276000,276000,51090
MERCEPAR REPUESTOS S.A.,4721,Compras  CREDITO,09/19/2018 00:00:00,10/19/2018 00:00:00,635700,635700,51090
UNIVERSIDAD TECNICA DE COMERCIALIZACION Y DESARROL,4721,Gastos Contado,09/14/2018 00:00:00,09/15/2018 00:00:00,185000,185000,9633
MERCEPAR REPUESTOS S.A.,4735,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,700000,700000,51090
MERCEPAR REPUESTOS S.A.,4773,Compras  CREDITO,10/02/2018 00:00:00,11/01/2018 00:00:00,192000,192000,51090
MERCEPAR REPUESTOS S.A.,4775,Compras  CREDITO,10/02/2018 00:00:00,11/01/2018 00:00:00,580000,580000,51090
BRITIMP SEGURIDAD SA,4810,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,11211067,11211067,36497
SUPERMERCADO DOÑA ANDREA LUCIA SRL,4812,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,11300,11300,53667
BRITIMP SEGURIDAD SA,4814,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,2640000,2640000,36497
INVERSIONES SAN ISIDRO S.A,4820,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,180000,180000,63659
BRITIMP SEGURIDAD SA,4828,Gastos Credito,10/01/2018 00:00:00,08/31/2018 00:00:00,222000,222000,36497
CONDOR S.A.C.I.,4913,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,528000,528000,834
CONDOR S.A.C.I.,4914,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,501600,501600,834
COMPAÑIA SAN IGNACIO S.A,5107,Gastos Credito,09/14/2018 00:00:00,10/14/2018 00:00:00,1540000,1540000,51976
ARTURO RUBIN PRODUCCIONES SA,5642,Gastos Credito,09/14/2018 00:00:00,10/14/2018 00:00:00,5527500,5527500,9584
ARTURO RUBIN PRODUCCIONES SA,5643,Gastos Credito,09/14/2018 00:00:00,10/14/2018 00:00:00,3015000,3015000,9584
BANCO ATLAS S.A.,5734,Gastos Contado,09/07/2018 00:00:00,09/08/2018 00:00:00,37277,37277,12233
COOP. BINAC. DE SERVICIOS CABAL PARAGUAY LTDA.,5749,Gastos Contado,09/30/2018 00:00:00,10/01/2018 00:00:00,35387,35387,9952
IMPORTADORA AVENIDA S.A.,5918,Compras  CREDITO,09/20/2018 00:00:00,10/20/2018 00:00:00,1121000,1121000,956
IMPORTADORA AVENIDA S.A.,5975,Compras  CREDITO,09/20/2018 00:00:00,10/21/2018 00:00:00,1107700,1107700,956
COOP. BINAC. DE SERVICIOS CABAL PARAGUAY LTDA.,6131,Gastos Contado,09/30/2018 00:00:00,10/30/2018 00:00:00,87049,87049,9952
LUMINOTECNIA SA,6406,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,99145,99145,1352
TUPI RAMOS GENERALES SA,6476,Gastos Credito,10/05/2018 00:00:00,11/04/2018 00:00:00,1459000,1459000,9886
CESAR PALACE HOTEL,6484,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,120000,120000,17494
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6548,Gastos Credito,09/03/2018 00:00:00,09/04/2018 00:00:00,120000,120000,49098
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6549,Gastos Credito,09/03/2018 00:00:00,09/04/2018 00:00:00,70000,70000,49098
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6552,Gastos Credito,09/03/2018 00:00:00,09/04/2018 00:00:00,70000,70000,49098
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6554,Gastos Credito,09/03/2018 00:00:00,09/04/2018 00:00:00,70000,70000,49098
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6555,Gastos Credito,09/03/2018 00:00:00,09/04/2018 00:00:00,70000,70000,49098
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6556,Gastos Credito,09/05/2018 00:00:00,10/05/2018 00:00:00,70000,70000,49098
INGENIERIA CIVIL Y ARQUITECTURA S.A.,6568,Gastos Credito,09/12/2018 00:00:00,10/12/2018 00:00:00,70000,70000,49098
BANCO CONTINENTAL SAECA,6584,Gastos Contado,09/10/2018 00:00:00,09/11/2018 00:00:00,2228358,2228358,9655
BANCO CONTINENTAL SAECA,6585,Gastos Contado,09/10/2018 00:00:00,09/11/2018 00:00:00,200097,200097,9655
INGENIERIA CIVIL Y ARQUITECTURA S.A,6627,Gastos Credito,10/03/2018 00:00:00,11/02/2018 00:00:00,70000,70000,50853
BANCO CONTINENTAL SAECA,6644,Gastos Contado,09/11/2018 00:00:00,09/12/2018 00:00:00,29098766,29098766,9655
BANCO CONTINENTAL SAECA,6739,Gastos Contado,09/12/2018 00:00:00,09/13/2018 00:00:00,1344192,1344192,9655
BANCO CONTINENTAL SAECA,6740,Gastos Contado,09/12/2018 00:00:00,09/13/2018 00:00:00,734114,734114,9655
1Ñ DE MARZO SA.,6747,Gastos Credito,10/03/2018 00:00:00,11/02/2018 00:00:00,2918520,2918520,29853
BANCO CONTINENTAL SAECA,6861,Gastos Contado,09/14/2018 00:00:00,09/15/2018 00:00:00,11000,11000,9655
BANCO CONTINENTAL SAECA,6925,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,3476638,3476638,9655
BANCO CONTINENTAL SAECA,6926,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,72620,72620,9655
CONTENIDOS DIRIGIDOS  SA,7042,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,55000,55000,67696
BANCO CONTINENTAL SAECA,7306,Gastos Contado,09/26/2018 00:00:00,09/27/2018 00:00:00,54849,54849,9655
BANCO CONTINENTAL SAECA,7432,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,330355,330355,9655
BANCO CONTINENTAL SAECA,7433,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,777100,777100,9655
VALVOLINE ARGENTINA S.A,7485,Proveedores Ext.,09/21/2018 00:00:00,10/21/2018 00:00:00,261944113,261944113,1458
VALVOLINE ARGENTINA S.A,7486,Proveedores Ext.,09/21/2018 00:00:00,10/21/2018 00:00:00,262044281,262044281,1458
BANCO CONTINENTAL SAECA,7591,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,8206289,8206289,9655
EL GIBBOR INK,7727,Gastos Credito,09/27/2018 00:00:00,10/27/2018 00:00:00,380000,380000,51188
MARIAM S.A.,8259,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,423000,423000,1473
UNIVERSIDAD PRIVADA DEL GUAIRA,9047,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,350000,350000,62098
UNIVERSIDAD PRIVADA DEL GUAIRA,9050,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,300000,300000,62098
GRUPO GARCIA RIESER S.A,9272,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,360000,360000,17345
SALEMMA RETAIL S.A.,9471,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,20000,20000,1209
MOPC,9576,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,30000,30000,9322
SALEMMA RETAIL S.A.,9681,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,17500,17500,1209
RECIBO COMUN,9867,Otros Comp.,10/10/2018 00:00:00,10/11/2018 00:00:00,9867000,9867000,11275
SALEMMA RETAIL S.A.,10311,Gastos Contado,10/11/2018 00:00:00,10/12/2018 00:00:00,414500,414500,1209
D.C. IMPORTACIONES,10447,Compras  CREDITO,09/19/2018 00:00:00,10/19/2018 00:00:00,3192404,3192404,59402
HOTEL PRIMAVERA,10467,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,240000,240000,11622
COPETIN SAN BLAS DON BOSCO,10806,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,50000,50000,40918
INDUGRAF,11260,Gastos Credito,09/27/2018 00:00:00,10/27/2018 00:00:00,300000,300000,13007
BRINGCO S.A,11301,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,13260,13260,13894
UNIVERSIDAD POLITECNICA Y ARTISTICA,11631,Gastos Contado,09/21/2018 00:00:00,09/22/2018 00:00:00,205000,205000,9726
FITNESS PARAGUAY S.A,11998,Gastos Contado,10/04/2018 00:00:00,10/05/2018 00:00:00,60000,60000,64172
COPETIN FRANCIS,12262,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,60000,60000,52207
SALEMMA RETAIL S.A.,12538,Gastos Contado,10/08/2018 00:00:00,10/09/2018 00:00:00,24700,24700,1209
ESTRELLA PARAGUAYA S.R.L,12862,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,20000,20000,9273
ESTRELLA PARAGUAYA S.R.L,12880,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,20000,20000,9273
ESTRELLA PARAGUAYA S.R.L,13075,Gastos Contado,10/06/2018 00:00:00,10/07/2018 00:00:00,30000,30000,9273
ESTRELLA PARAGUAYA S.R.L,13303,Gastos Contado,10/10/2018 00:00:00,10/11/2018 00:00:00,130000,130000,9273
ESTRELLA PARAGUAYA S.R.L,13459,Gastos Contado,10/13/2018 00:00:00,10/14/2018 00:00:00,30000,30000,9273
