Empresa,Yhaguy,
,,
DESCRIPCION,SIGLA,TIPOTIPO
sin referencia,sin-referencia,sin referencia
TRANSF. INTERNA,TRF-INT,Tipo Transferencia
TRANSF. EXTERNA,TRF-EXT,Tipo Transferencia
ELABORACION,TRF-ELAB,Estado Transferencia
PENDIENTE,TRF-PEND,Estado Transferencia
PREPARACION,TRF-PREP,Estado Transferencia
CONFIRMADO,TRF-CONF,Estado Transferencia
RECIBIDO,TRF-RECI,Estado Transferencia
FINALIZADA,TRF-FINA,Estado Transferencia
CANCELADA,TRF-CANC,Estado Transferencia
GASTOS FLETE,GTS-FLE,Gastos Compras Locales
OTROS GASTOS,GTS-OTR,Gastos Compras Locales
TERMINAL,REP-TER,Tipos de Reparto
COLECTIVO,REP-COL,Tipos de Reparto
ENCOMIENDA,REP-ENC,Tipos de Reparto
YHAGUY,REP-YHA,Tipos de Reparto
EN PREPARACION,REP-ENPRE,Estado Reparto
PREPARADO,REP-PREP,Estado Reparto
EN TRANSITO,REP-TRAN,Estado Reparto
ENTREGADO,REP-ENTR,Estado Reparto
FINALIZADO CON OBSERVACIONES,REP-FINO,Estado Reparto
CANCELADO,REP-CANC,Estado Reparto
MOSTRADOR,VTA-MOS,Tipo Venta
VENDEDOR,VTA-VEN,Tipo Venta
TERMINAL,VTA-TER,Tipo Venta
ENCOMIENDA,VTA-ENC,Tipo Venta
COLECTIVO,VTA-COL,Tipo Venta
REPARTO,VTA-REP,Tipo Venta
N.C. COMPRA,NCR-COM,Tipos de Nota de Credito
N.C. VENTA,NCR-VEN,Tipos de Nota de Credito
Peso,$,Moneda
Euro,E,Moneda
CambioAPP,YG,Tipo Cambio
CambioBCP,BCP,Tipo Cambio
Compra,E-COM,Mails Empresa
Venta,E-VEN,Mails Empresa
Único,E-UNI,Mails Empresa
Promoción,E-PRO,Mails Empresa
Paraguay,PRY,Pais Empresa
sin definir,SIN-PAIS,Pais Empresa
Argentina,ARG,Pais Empresa
Brasil,BRA,Pais Empresa
Bolivia,BOL,Pais Empresa
Uruguay,URY,Pais Empresa
Estados Unidos,USA,Pais Empresa
Japón,JPN,Pais Empresa
China,CHN,Pais Empresa
Turquía,TUR,Pais Empresa
Física,PF,Tipo Persona
Jurídica,PJ,Tipo Persona
