Empresa,Yhaguy R,
,,
CODIGO,STOCK,ORIGEN
VAL VV301,24,INVENTARIO
VAL VX385,1,INVENTARIO
VAL 773634,6,INVENTARIO
VAL 01VA378,5,INVENTARIO
VAL VV388,7,INVENTARIO
VAL VV161,15,INVENTARIO
VAL VV211,0,INVENTARIO
VAL VV975,28,INVENTARIO
VAL VV831,19,INVENTARIO
VAL VV349,3,INVENTARIO
VAL VV353,24,INVENTARIO
VAL VV360,12,INVENTARIO
VAL VV150,0,INVENTARIO
VAL VV324,17,INVENTARIO
VAL ZXRU1,12,INVENTARIO
CAS C2QEDSPT5W40,10,INVENTARIO
VAL VV329,2,INVENTARIO
VAL 881797,4,INVENTARIO
LB00770 CJ12UN,12,INVENTARIO
LB11168 CJ04,2,INVENTARIO
LB10759 CJ24X1,0,INVENTARIO
LB00159 CJ24UN,0,INVENTARIO
PET 54030,2,INVENTARIO
PET 85W140,2,INVENTARIO
VAL 875391,2,INVENTARIO
VAL 875290,38,INVENTARIO
VAL 875392 FRAC,139,INVENTARIO
CAS C2QTRADOMMV,0,INVENTARIO
PET 15W40 BALDE,4,INVENTARIO
PET 25W60 BALDE,2,INVENTARIO
VAL 884577,0,INVENTARIO
VAL 787301,0,INVENTARIO
VAL 859865,0,INVENTARIO
VAL 854096,0,INVENTARIO
VAL MX387,0,INVENTARIO
VAL 818474 FRAC,0,INVENTARIO
VAL MX502,1,INVENTARIO
VAL ZXEDRU1,0,INVENTARIO
VAL 804751,1,INVENTARIO
VAL 773779,29,INVENTARIO
VAL VV296,5,INVENTARIO
VAL VV346,19,INVENTARIO
VAL VV609,0,INVENTARIO
VAL 880953,12,INVENTARIO
VAL 774038,3,INVENTARIO
VAL VV301,45,SISTEMA
VAL VX385,1,SISTEMA
VAL 773634,7,SISTEMA
VAL 01VA378,5,SISTEMA
VAL VV388,8,SISTEMA
VAL VV161,15,SISTEMA
VAL VV211,2,SISTEMA
VAL VV975,28,SISTEMA
VAL VV831,19,SISTEMA
VAL VV349,3,SISTEMA
VAL VV353,35,SISTEMA
VAL VV360,27,SISTEMA
VAL VV150,1,SISTEMA
VAL VV324,17,SISTEMA
VAL ZXRU1,12,SISTEMA
CAS C2QEDSPT5W40,13,SISTEMA
VAL VV329,2,SISTEMA
VAL 881797,6,SISTEMA
LB00770 CJ12UN,12,SISTEMA
LB11168 CJ04,2,SISTEMA
LB10759 CJ24X1,9,SISTEMA
LB00159 CJ24UN,6,SISTEMA
PET 54030,2,SISTEMA
PET 85W140,2,SISTEMA
VAL 875391,16,SISTEMA
VAL 875290,38,SISTEMA
VAL 875392 FRAC,139,SISTEMA
CAS C2QTRADOMMV,3,SISTEMA
PET 15W40 BALDE,4,SISTEMA
PET 25W60 BALDE,2,SISTEMA
VAL 884577,8,SISTEMA
VAL 787301,1,SISTEMA
VAL 859865,1,SISTEMA
VAL 854096,27,SISTEMA
VAL MX387,5,SISTEMA
VAL 818474 FRAC,6,SISTEMA
VAL MX502,1,SISTEMA
VAL ZXEDRU1,2,SISTEMA
VAL 804751,15,SISTEMA
VAL 773779,32,SISTEMA
VAL VV296,8,SISTEMA
VAL VV346,19,SISTEMA
VAL VV609,1,SISTEMA
VAL 880953,19,SISTEMA
VAL 774038,3,SISTEMA
