Empresa,Yhaguy R,
,,
CODIGO,STOCK,ORIGEN
REI R-012,5,INVENTARIO
GOOD 21565R16,0,INVENTARIO
GITI 100A3653,0,INVENTARIO
S1376,31,INVENTARIO
S1656,16,INVENTARIO
S1710,0,INVENTARIO
S1659,33,INVENTARIO
S1779,24,INVENTARIO
SC-5611,11,INVENTARIO
SC-2586,9,INVENTARIO
S1603,1,INVENTARIO
SC-1658,62,INVENTARIO
S1407,48,INVENTARIO
SC-5610,0,INVENTARIO
S3658,3,INVENTARIO
SC-1932,18,INVENTARIO
BEP B070N,2,INVENTARIO
BEP B072R,2,INVENTARIO
BEP B071X,2,INVENTARIO
CIP 1677497,3,INVENTARIO
BEP B069G,8,INVENTARIO
TB2062,0,INVENTARIO
FAB TB2062,8,INVENTARIO
BEP B069,0,INVENTARIO
FAL 30695,5,INVENTARIO
SC-1745,0,INVENTARIO
S2487,0,INVENTARIO
ABR 318541,4,INVENTARIO
CIP 318541,1,INVENTARIO
M2312,2,INVENTARIO
S4386,1,INVENTARIO
M1584,7,INVENTARIO
S1668,2,INVENTARIO
CIP 796363,0,INVENTARIO
01/04/31,9,INVENTARIO
PRIO 1445398,0,INVENTARIO
SAM 041301,6,INVENTARIO
S3093,4,INVENTARIO
S965,0,INVENTARIO
SC 1391051,4,INVENTARIO
SC 1000374,2,INVENTARIO
SAM 041302,4,INVENTARIO
CIP 308782,4,INVENTARIO
SC-1364290,4,INVENTARIO
SC-370798,1,INVENTARIO
M2885,1,INVENTARIO
ABR 120132,5,INVENTARIO
S1470,0,INVENTARIO
SC-1857864,4,INVENTARIO
CIN 14.33.0229,0,INVENTARIO
CIP 296028,4,INVENTARIO
GRA 187,1,INVENTARIO
GRA 277,1,INVENTARIO
S1282,2,INVENTARIO
SC-5616,2,INVENTARIO
SC-1346907,4,INVENTARIO
SC-2952,0,INVENTARIO
VAL VV386,0,INVENTARIO
M2120,4,INVENTARIO
ABRO RV495,3,INVENTARIO
SC-2990,0,INVENTARIO
SC-2989 MRA,0,INVENTARIO
MKT AGER,0,INVENTARIO
FARR AGUA,0,INVENTARIO
TSG 1L,149,INVENTARIO
TSG 5L,18,INVENTARIO
MKT 330,0,INVENTARIO
MKT 182,0,INVENTARIO
SC-2605,0,INVENTARIO
M1378,11,INVENTARIO
SC-887,0,INVENTARIO
L-12411Y,2,INVENTARIO
FERV 06-0410,1,INVENTARIO
AMO 1675201.O,2,INVENTARIO
SC-1503/1 ,1,INVENTARIO
GLO 1886,2,INVENTARIO
COF B.47631..Y,2,INVENTARIO
SC 1348477,4,INVENTARIO
SC 1363122,12,INVENTARIO
SAC 290989,1,INVENTARIO
01/02/28,4,INVENTARIO
SAM 040219,0,INVENTARIO
S3203,1,INVENTARIO
SC 1502474,3,INVENTARIO
SAM 040223,0,INVENTARIO
SC 1382827,11,INVENTARIO
COF B.47585..Y,2,INVENTARIO
NAK MG-17123,2,INVENTARIO
NAK MG-19402,6,INVENTARIO
NAK MG-16098,6,INVENTARIO
COF B.47627..Y,2,INVENTARIO
SC 5123,6,INVENTARIO
COF L.12917..Y,4,INVENTARIO
COF L.12918 Y,0,INVENTARIO
NAK AC-36026,2,INVENTARIO
NAK AC-36015,4,INVENTARIO
NAK AC-36017,1,INVENTARIO
NAK AC-36066,2,INVENTARIO
NAK AC-45011,2,INVENTARIO
NAK AC-45013,2,INVENTARIO
SC 1371448,0,INVENTARIO
NAK AC-30975,4,INVENTARIO
COF 45119..Y,2,INVENTARIO
DIE 1374642,2,INVENTARIO
KOM 334176,1,INVENTARIO
KOM 334177,1,INVENTARIO
SC-5003,2,INVENTARIO
COF 45003 Y,0,INVENTARIO
COF 45123..Y,3,INVENTARIO
M504,0,INVENTARIO
NAK AC-45028,2,INVENTARIO
H22031T,2,INVENTARIO
NAK AC-30828,2,INVENTARIO
COF 45006..Y,0,INVENTARIO
SAC 10460/6,0,INVENTARIO
NAK AC-45015,8,INVENTARIO
SC 1854537 ,3,INVENTARIO
S1164,17,INVENTARIO
M2546,4,INVENTARIO
S1382,2,INVENTARIO
MIL 635.210,1,INVENTARIO
MIL 635.212,1,INVENTARIO
SC 1351692/1,14,INVENTARIO
FAL 31392,0,INVENTARIO
S899,8,INVENTARIO
SC 381235,0,INVENTARIO
M1453,3,INVENTARIO
M3108,2,INVENTARIO
ANI 1328995,0,INVENTARIO
ANI 1433063,10,INVENTARIO
S4425,17,INVENTARIO
PRIO 170951,11,INVENTARIO
KS 50.006.636,17,INVENTARIO
SC 1768938,15,INVENTARIO
SC 1730424,15,INVENTARIO
CIP 194414,2,INVENTARIO
CIP 1309563,0,INVENTARIO
SC-1390883,0,INVENTARIO
CIP 381235,0,INVENTARIO
CIP 355939,12,INVENTARIO
SC-2251,0,INVENTARIO
FAL 30519,0,INVENTARIO
SC-1041,0,INVENTARIO
CIP 15323,10,INVENTARIO
SC 1440407,2,INVENTARIO
SC 1424854,3,INVENTARIO
SC 242857,17,INVENTARIO
CIN 14.33.0022,0,INVENTARIO
CIN 14.33.0001,1,INVENTARIO
CIP 1114315,1,INVENTARIO
SC-204727,1,INVENTARIO
PRIO 242857,2,INVENTARIO
SC-1403128,7,INVENTARIO
SC 351197,4,INVENTARIO
SC-1302828,0,INVENTARIO
SC-1373126,25,INVENTARIO
SC-3126,18,INVENTARIO
SC 1424853,2,INVENTARIO
SC 1340615,0,INVENTARIO
SC-5138,10,INVENTARIO
SC 1376911,20,INVENTARIO
SC-1798,0,INVENTARIO
