Empresa, Yhaguy Baterias,,,,
,,,,,,
FECHA,NUMERO,DESCRIPCION,DEBE,HABER,SALDO 
02/abr,0 20118825 93-CO-DJO,DEPOSITO EFECTIVO.-,   ,1712500,96104643
02/abr,0 20118825 93-CO-DJO,DEPOSITO CHQ.24HS.-,   ,400000,96504643
02/abr,70 868485 73-CEN-UEL,CHEQUE DEP.N/B70 868485,17673753,   ,78830890
02/abr,0 20371576 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,10623500,89454390
02/abr,0 20371576 93-K95FLM-MJV,DEPOSITO CHQ.24HS.-,   ,5318000,94772390
02/abr,0 20371576 93-K95FLM-MJV,DEPOSITO CHQ.N/BCO-063,   ,2000000,96772390
02/abr,0 20371580 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,218000,96990390
02/abr,0 20371581 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,663500,97653890
02/abr,0 20371578 93-K95FLM-MJV,DEPOSITO CHQ.24HS.-,   ,2763500,100417390
02/abr,0 20371578 93-K95FLM-MJV,DEPOSITO CHQ.N/BCO-070,   ,12495727,112913117
02/abr,72 94616 90-CM-EMJ,CLEARING REC.BCO.17,2680000,   ,110233117
02/abr,54 8998236 60-SL-IVL,DB X CUOTA:05A12194217014,10692000,   ,99541117
02/abr,0 2292267 93-SL-IRS,DEPOSITO CHQ.N/BCO-162,   ,4453633,103994750
02/abr,72 94622 73-SL-IRS,CHEQUE DEP.N/B72 94622,4453633,   ,99541117
02/abr,70 868482 73-CEN-FMZ,CHEQUE DEP.N/B70 868482,22733673,   ,76807444
03/abr,72 94607 90-CM-EMJ,CLEARING REC.BCO.39,2310000,   ,74497444
03/abr,0 20371582 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,33877000,108374444
03/abr,0 20371582 93-K95FLM-MJV,DEPOSITO CHQ.24HS.-,   ,7605000,115979444
03/abr,0 20371582 93-K95FLM-MJV,DEPOSITO CHQ.N/BCO-079,   ,12548182,128527626
03/abr,0 20371583 93-K95FLM-MJV,DEPOSITO CHQ.N/BCO-086,   ,6424620,134952246
03/abr,54 9002858 60-SL-IVL,DB X CUOTA:05A12204718006,5101598,   ,129850648
04/abr,0 20371514 93-K95FLM-MJV,DEPOSITO CHQ.24HS.-,   ,76894800,206745448
04/abr,0 20371514 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,15259000,222004448
04/abr,0 18414746 93-CAA-JRG,DEPOSITO EFECTIVO.-,   ,1296000,223300448
04/abr,0 18414747 93-CAA-RIS,DEPOSITO EFECTIVO.-,   ,648000,223948448
05/abr,0 20371516 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,15043500,238991948
05/abr,0 20371516 93-K95FLM-MJV,DEPOSITO CHQ.24HS.-,   ,4412000,243403948
05/abr,0 20371516 93-K95FLM-MJV,DEPOSITO CHQ.N/BCO-079,   ,4639000,248042948
05/abr,71 755840 73-CEN-EOR,CHEQUE DEP.N/B71 755840,18426187,   ,229616761
05/abr,0 20371515 93-K95FLM-MJV,DEPOSITO EFECTIVO.-,   ,1857000,231473761
05/abr,0 20371517 93-K95FLM-MJV,DEPOSITO CHQ.N/BCO-085,   ,6424620,237898381
05/abr,0 20423752 93-CUR-DER,DEPOSITO EFECTIVO.-,   ,445000,238343381
05/abr,54 9009233 60-SL-FAE,DB X CUOTA:05053315618024,3272850,   ,235070531
06/abr,0 20118824 93-CO-KEB,DEPOSITO EFECTIVO.-,   ,1970000,237040531
06/abr,72 94609 73-LUQ-OEF,CHEQUE DEP.N/B72 94609,1680000,   ,235360531
06/abr,72 94601 90-CM-EMJ,CLEARING REC.BCO.08,4860690,   ,230499841
06/abr,0 20371518 93-SL-EST,DEPOSITO CHQ.48HS.-,   ,16546091,247045932
06/abr,0 20371518 93-SL-EST,DEPOSITO EFECTIVO.-,   ,22345000,269390932
06/abr,72 94625 73-SL-EST,CHEQUE DEP.N/B72 94625,140000,   ,269250932
