Empresa, Yhaguy Baterias,,,
,,,,,
FECHA,NUMERO,DESCRIPCION,DEBE,HABER,SALDO
01/abr,0 3585157,DEPOSITO EN EFECTIVO/CHEQUES BCO. A,0,415000,0
02/abr,0 2466357,CONFIRMACION DE DEPOSITO,0,3438000,0
03/abr,0 2466358,CONFIRMACION DE DEPOSITO,0,13083391,0
04/abr,0 2466356,CONFIRMACION DE DEPOSITO,0,14760000,0
05/abr,0 2477625,CONFIRMACION DE DEPOSITO,0,159331248,0
06/abr,0 78623,GIROS Y TRANSFERENCIAS,465228477,0,0
07/abr,0 78623,GIROS Y TRANSFERENCIAS,215215,0,0
08/abr,0 223531,COBRO DE CARGOS O COMISIONES,165000,0,0
09/abr,0 6161361,CHEQUE RECIBIDO POR COMPENSACION,1606000,0,0
10/abr,0 6161356,CHEQUE RECIBIDO POR COMPENSACION,379250,0,0
11/abr,0 6161354,CHEQUE RECIBIDO POR COMPENSACION,1532000,0,0
12/abr,0 6161358,CHEQUE RECIBIDO POR COMPENSACION,410000,0,0
13/abr,0 6161362,CHEQUE RECIBIDO POR COMPENSACION,5000000,0,0
14/abr,0 6161363,CHEQUE RECIBIDO POR COMPENSACION,444000,0,0
15/abr,0 3604655,DEPOSITO EN EFECTIVO/CHEQUES BCO. A,0,582000,0
16/abr,0 6161357,CHEQUE RECIBIDO POR COMPENSACION,2615000,0,0
17/abr,0 6161355,CHEQUE RECIBIDO POR COMPENSACION,860000,0,0
18/abr,0 6161360,CHEQUE RECIBIDO POR COMPENSACION,1649200,0,0
19/abr,0 115835,COBRO DE CUOTA,1420000,0,0
20/abr,0 6161367,CHEQUE RECIBIDO POR COMPENSACION,145000,0,0
21/abr,0 6161359,CHEQUE PAGADO POR DEPOSITO EN CUENT,608040,0,0
22/abr,0 6161368,CHEQUE RECIBIDO POR COMPENSACION,260000,0,0
23/abr,0 6161364,CHEQUE PAGADO EN CAJA,293000,0,0
24/abr,0 6161366,CHEQUE RECIBIDO POR COMPENSACION,432000,0,0
