Empresa, Yhaguy Baterias,,,,
,,,,,,
FECHA,NUMERO,DESCRIPCION,DEBE,HABER,SALDO
02/may,72 557831 73-K95FLM-JRU,CHEQUE DEP.N/B72 557831,5064247, ,412770158
02/may,0 20344826 93-K95FLM-JRU,DEPOSITO CHQ.N/BCO-064, ,88756247,501526405
02/may,0 20344825 93-K95FLM-JRU,DEPOSITO EFECTIVO.-, ,16361500,517887905
02/may,0 20344825 93-K95FLM-JRU,DEPOSITO CHQ.24HS.-, ,11161500,529049405
02/may,0 20344825 93-K95FLM-JRU,DEPOSITO CHQ.N/BCO-067, ,1184000,530233405
02/may,0 6905365 97-SL-CZM,DEBITO X OPERAC.CAMBIOS,111300000, ,418933405
02/may,0 6905366 97-SL-CZM,DEBITO X OPERAC.CAMBIOS,196526806, ,222406599
02/may,72 557832 73-K95FLM-JRU,CHEQUE DEP.N/B72 557832,83692000, ,138714599
02/may,56 9086802 00-SL-CZM,TRANSFERENCIAS INTERNACIONALES,204000, ,138510599
02/may,56 9086788 00-SL-CZM,TRANSFERENCIAS INTERNACIONALES,204000, ,138306599
02/may,72 94602 90-CM-ALU,CLEARING REC.BCO.17,1506000, ,136800599
03/may,72 300955 90-CM-ALU,CLEARING REC.BCO.28,14364695, ,122435904
03/may,72 300945 73-CEN-JDE,CHEQUE DEP.N/B72 300945,18817005, ,103618899
03/may,0 20344828 93-K95FLM-JRU,DEPOSITO EFECTIVO.-, ,46908500,150527399
03/may,0 20344828 93-K95FLM-JRU,DEPOSITO CHQ.N/BCO-122, ,410000,150937399
03/may,0 20344828 93-K95FLM-JRU,DEPOSITO CHQ.24HS.-, ,18736302,169673701
03/may,0 20344830 93-K95FLM-JRU,DEPOSITO EFECTIVO.-, ,10293500,179967201
03/may,0 20344830 93-K95FLM-JRU,DEPOSITO CHQ.24HS.-, ,900000,180867201
03/may,0 20344830 93-K95FLM-JRU,DEPOSITO CHQ.N/BCO-130, ,8377450,189244651
03/may,72 557836 73-K95FLM-MJV,CHEQUE DEP.N/B72 557836,27500000, ,161744651
04/may,72 557838 90-CM-ALU,CLEARING REC.BCO.02,1531000, ,160213651
04/may,0 19545014 93-K95FLM-JRU,DEPOSITO EFECTIVO.-, ,32680000,192893651
04/may,0 19545014 93-K95FLM-JRU,DEPOSITO CHQ.24HS.-, ,2813000,195706651
04/may,0 19545009 93-K95FLM-JRU,DEPOSITO CHQ.24HS.-, ,3175916,198882567
04/may,0 20973971 93-K95FLM-JRU,DEPOSITO CHQ.24HS.-, ,15387940,214270507
04/may,0 20973971 93-K95FLM-JRU,DEPOSITO CHQ.N/BCO-115, ,1323500,215594007
04/may,72 300969 73-PUE-EGF,CHEQUE DEP.N/B72 300969,17871034, ,197722973
04/may,72 300972 73-PUE-EGF,CHEQUE DEP.N/B72 300972,18569784, ,179153189
