Empresa, Yhaguy Baterias,,,,
,,,,,,
FECHA,NUMERO,DESCRIPCION,DEBE,HABER,SALDO
10/may,0 6161369,CHEQUE RECIBIDO POR COMPENSACION,710100, ,710100
11/may,0 6161370,CHEQUE RECIBIDO POR COMPENSACION,306652, ,306652
12/may,0 6161372,CHEQUE RECIBIDO POR COMPENSACION,145000, ,145000
13/may,0 1439720,DESEMBOLSO DE PRESTAMOS, ,259824771,259824771
14/may,0 119173,GIROS Y TRANSFERENCIAS,254700000, ,254700000
15/may,0 119173,GIROS Y TRANSFERENCIAS,249040, ,249040
16/may,0 6161374,CHEQUE RECIBIDO POR COMPENSACION,650000, ,650000
