Empresa,Yhaguy
,
CODIGO,DESCRIPCION
SIN APLICACION,SIN APLICACION
FIAT                ,FIAT                
SCANIA              ,SCANIA              
AUTO                ,AUTO                
AT                  ,AT                  
HT                  ,HT                  
UTILITARIOS         ,UTILITARIOS         
CARRETA             ,CARRETA             
VOLKSWAGEN          ,VOLKSWAGEN          
MT                  ,MT                  
SC/MB/FORD          ,SC/MB/FORD          
MERCEDES BENZ       ,MERCEDES BENZ       
HONDA               ,HONDA               
AUDI                ,AUDI                
VALMET              ,VALMET              
TOYOTA              ,TOYOTA              
NISSAN              ,NISSAN              
CBT                 ,CBT                 
AGCO DO BRASIL      ,AGCO DO BRASIL      
CATERPILLAR         ,CATERPILLAR         
FORD                ,FORD                
SUZUKI              ,SUZUKI              
MAZDA               ,MAZDA               
MITSUBISHI          ,MITSUBISHI          
JOHN DEERE          ,JOHN DEERE          
GM                  ,GM                  
IVECO               ,IVECO               
PEUGEOT             ,PEUGEOT             
KIA                 ,KIA                 
HYUNDAI             ,HYUNDAI             
DAEWOO              ,DAEWOO              
ISUZU               ,ISUZU               
NEW HOLLAND         ,NEW HOLLAND         
CHALMERS            ,CHALMERS            
SULLIAR             ,SULLIAR             
VWC                 ,VWC                 
J.I. CASE           ,J.I. CASE           
KOMATSU             ,KOMATSU             
AGRALE              ,AGRALE              
MASSEY              ,MASSEY              
VOLVO               ,VOLVO               
ASIA TOPIC          ,ASIA TOPIC          
DAIHATSU            ,DAIHATSU            
GMC                 ,GMC                 
INGERSOLL RAND      ,INGERSOLL RAND      
CASE                ,CASE                
FIAT ALLIS          ,FIAT ALLIS          
ASIA MOTOR          ,ASIA MOTOR          
RENAULT             ,RENAULT             
YANMAR              ,YANMAR              
CAMION ISUZU        ,CAMION ISUZU        
CAMION NISSAN       ,CAMION NISSAN       
COSECHADORA CLASS   ,COSECHADORA CLASS   
FORD CARGO          ,FORD CARGO          
TRANSMISION         ,TRANSMISION         
MOTOR               ,MOTOR               
HIDRAULICO          ,HIDRAULICO          
REFRIGERANTE        ,REFRIGERANTE        
CAJA                ,CAJA                
FLUIDO              ,FLUIDO              
MULTIPROPOSITO      ,MULTIPROPOSITO      
MULTIPLES           ,MULTIPLES           
FUSCA               ,FUSCA               
CHEVROLET           ,CHEVROLET           
RANDON              ,RANDON              
EATON               ,EATON               
NWM                 ,NWM                 
MWM                 ,MWM                 
MF                  ,MF                  
OTTO DEUTZ          ,OTTO DEUTZ          
VME                 ,VME                 
CORSA               ,CORSA               
MAQUINARIAS AGRICOLA,MAQUINARIAS AGRICOLA
JACTO               ,JACTO               
CAV                 ,CAV                 
MARCHESAN           ,MARCHESAN           
MAXION              ,MAXION              
YUTONG              ,YUTONG              
PERKINS/MAXION      ,PERKINS/MAXION      
PENTIUS             ,PENTIUS             
TRUCKI              ,TRUCKI              
CHRYSLER            ,CHRYSLER            
CITROEN             ,CITROEN             
FNH                 ,FNH                 
CORSA/VECTRA        ,CORSA/VECTRA        
CORSA/MONZA         ,CORSA/MONZA         
SLC                 ,SLC                 
TOBATA              ,TOBATA              
ALFA ROMEO          ,ALFA ROMEO          
YAMAHA              ,YAMAHA              
FORD NEW HOLLAND    ,FORD NEW HOLLAND    
HUBER WABCO         ,HUBER WABCO         
VIBRO               ,VIBRO               
LAVRALE             ,LAVRALE             
SEAT                ,SEAT                
J.I.CASE            ,J.I.CASE            
VALMET-VALTRA       ,VALMET-VALTRA       
MASSEY/MAXION/AGCO  ,MASSEY/MAXION/AGCO  
FNM                 ,FNM                 
SCHANEIDER          ,SCHANEIDER          
SEMEATO             ,SEMEATO             
DODGE               ,DODGE               
HATSUDA             ,HATSUDA             
FARYMANN            ,FARYMANN            
LADA                ,LADA                
THOMMIGS            ,THOMMIGS            
