Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
CHA T5E60,5,0
CHA T5D60,2,0
CHA F70ND,0,-1
CHA F70NE,1,0
CHA CH90LE,0,-1
HEL AG70PG,0,-2
HEL F45BD,0,-1
HEL F45BE,1,0
HEL F50GD,0,-1
HEL F50JD,3,0
HEL F50JE,0,-1
HEL F70ND,1,0
HEL F75LE,2,0
HEL F90LE,1,0
HEL F90LD,0,-1
HEL FX90MD,0,-1
HEL HE65DE,0,-1
HEL HE75ND,0,-3
HEL HE75PD,0,-1
HEL TA55DD,0,-1
HEL TA65NE,1,0
HEL TA95LE,1,0
TOY NS-40ZL,0,-42
TOY NS-40Z,42,0
TOY NS-62L,0,-1
TOY BT-65L,0,-1
TOY BT-63,1,0
TOY 95D31R,1,0
TOY NS-60,1,0
TOY BT-63L,0,-1
XBRI 155R12,0,-10
KUM 16560R14 KR26,2,0
GT 100A3251,0,-2
LIN 17570R14,1,0
CONS 18565R14,0,-1
XBRI 18570R14,0,-1
CON 15508550000,0,-4
GT 100A825,0,-2
DUR 20560R16,0,-5
CON 04513790000,0,-4
GT 100A285,2,0
CON 03528220000,1,0
CON 03502650000,0,-4
BRI 22560R18,0,-4
NEX 23555R19 N8000,0,-2
CON 03520680000,0,-1
GT 100A2791,1,0
GT 100A2572,0,-1
XBRI 24545R19,0,-4
XBRI 24565R17,0,-4
GT 100A2304,0,-1
GENT 04502910000,4,0
GT 100A466,2,0
GT 100A1886,0,-1
GENT 15483090000,0,-4
14128,0,-3
PAB4940,0,-2
PABS254,0,-1
PFBS8066,3,0
28113-2S000,0,-5
TEC ARL-1655,1,0
MAH LX804/S,1,0
TEC ARL-1657,5,0
AOY 13780-65J00,2,0
AOY 17801-56020,0,-1
AOY 28113-0X200,1,0
AOY 28113-02510,0,-2
AOY 28113-07100,0,-1
AOY 28130-44000,1,0
AOY 8-98027-480-0,0,-1
MAH LX1850/2,0,-1
MAH LX1850/1,1,0
AOY OK72C-23-603,1,0
26320-3C100,1,0
TEC PEL-2003,0,-1
TEC PSL-560,1,0
PAB4303,1,0
TEC PSC-72/2,0,-1
LUB FP-585-F,0,-1
TEC PC-953,0,-1
15208-AD200,1,0
26320-2A001,2,0
26320-3CAA0,0,-1
8-94360-427-0,1,0
DOE 196H,0,-1
HU721/4X,1,0
L8-94430-983-0,1,0
SAK C-1511,0,-1
VIC C-231,0,-2
W20027HE,0,-2
W20027MN,0,-4
W20043KS,0,-1
W20054MN,0,-4
WO-130,0,-1
Z20023HE,0,-1
Z20046MN,0,-1
16546-S0100,0,-1
PLB5123 S/V,1,0
TEC PSL-565,0,-1
TEC PSL-340,0,-1
26320-2F000,0,-1
LPKO-1011,0,-1
TEC PL-364,0,-1
PLB4731,1,0
15209-2W200,0,-2
TEC PSL-135,0,-3
TEC TM2,0,-1
TEC PSL-78,0,-2
L90915-10001,4,0
FIL 90915-03001,0,-2
TEC PSL-134,0,-1
TEC PSL-127,3,0
TEC PSL-562,0,-1
17801-22020,0,-1
17801-35020,3,0
M20087HE,1,0
16546-EB70A,1,0
16546-ED500,0,-1
17801-0C010,2,0
17801-54170,3,0
281132P300,0,-1
28113-2W300,1,0
A-28640,0,-1
C-15143/1,6,0
LR-205-23-603,1,0
LX513,1,0
M20045HE,0,-2
M20048MB,0,-1
M20070HE,0,-1
M20078MA,0,-1
OK6BO-23-603,0,-2
W20003HE,0,-1
Z20012MN,0,-12
TEC ARL-8834,0,-1
AOY 16546-18000,2,0
AOY 16546-41B00,0,-2
AOY 16546-EB70A,0,-2
AOY 17801-54170,0,-3
PABS065,0,-1
L28113-1G000,2,0
28113-2H000,0,-1
28113-4H000,0,-3
TEC ARL-8832,0,-1
TEC AR-2147,1,0
TEC ARL-4154,0,-2
TEC ARL-9609,0,-3
TEC ART-6098,0,-1
TEC ARL-8839,1,0
