Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
HEL AG70PG,0,-1
HEL F50JD,0,-1
HEL F70ND,1,0
HEL FX90MD,1,0
HEL FRP100LE,1,0
HEL HTZ5,0,-1
PLA CD55,0,-3
PLA PD55,0,-5
PLA PD66,0,-1
PLA PD66L,0,-1
PLA PD74,0,-1
PLA CJ35,0,-1
PLA P55B,0,-4
RAI NS-60L,0,-1
TOY NS-40ZL,0,-2
TOY NS-40Z,0,-1
TOY BT-54L,0,-1
TOY N-88,3,0
TOY N-88L,0,-3
TOY BTN-150,1,0
DUR 1100R22,0,-2
TRAC 17565R14,0,-1
NEX 17565R15,0,-1
CON 15485620000,0,-1
CONS 17570R13,0,-1
ADE 17570R13,1,0
TP20550000,0,-4
CONS 17570R14,1,0
LIN 17570R14,0,-1
NEX 1855515,0,-1
BRI 18555R16,1,0
NEX 18560R15 CP641,0,-2
CONS 18565R14,1,0
LIN 18565R15,0,-2
ART 185/65R15A600,1,0
BRI 18565R15 ER300,0,-1
HAN 18565R15 K424,0,-1
CONS 18570R14,0,-1
GT 100A1613,0,-2
ART 195/60R15A600,0,-1
BRI 19560R15,0,-4
GT 100A1519,0,-2
HAN 19560R15,0,-2
NEX 19560R16 NPRIZ,0,-1
DUR 19565R15,0,-1
LIN 19565R15,1,0
LING 19565R15 91V,0,-1
ART 195/70R14A600,0,-1
DUN 195R15,0,-1
FAR 195R15C,1,0
NEX 20540R17,0,-2
CON 20545R17 CSC3,0,-7
CON 03579560000,7,0
BRI 20545R17,1,0
BRI 20555R16 ER300,4,0
BRI 20555R16 EP150,0,-4
CON 20560R16 CPC,0,-2
DUR 20560R16,5,0
KUM 20560R16 KR26,1,0
LIN 20565R15 94H,1,0
KUM 20565R16 KH32,2,0
NEX 20570R14 CP661,1,0
NEX 20570R15,0,-1
NEX 20570R15 AT,2,0
NEX 21555R16 NPRIZ,1,0
CON 15497700000,0,-1
CON 22540R19,1,0
CON 03516510000,0,-1
NEX 22540R19,0,-6
BRI 22545R17 RE760,0,-1
LIN 22555R16,0,-1
CON 03502650000,1,0
CON 22555R16 CPC2,0,-2
GENT 15485230000,2,0
NEX 22570R16 CH,0,-1
NEX 22570R16 103T,1,0
CON 03509940000,4,0
GOO 23545R18,1,0
CON 23550R19,0,-1
CON 03548800000,1,0
CON 03520680000,1,0
LIN 23560R16,4,0
CON 03568810000,3,0
CON 23560R18 CPC5,0,-3
LIN 23560R18,1,0
BRI 23570R16 DEST,1,0
BRI 23570R16 AT,0,-1
NEX 23575R15,0,-2
GT 100A1771,0,-2
NEX 23575R15 AT,1,0
GT 100A1450,1,0
GENT 05684070000,1,0
CON 03578760000,0,-1
BRI 24570R16 DUE HT,2,0
GT 100A1770,1,0
CON 03563300000,2,0
LIN 25555R16,1,0
BRI 25570R16 HT,3,0
BRI 25570R16,0,-3
GT 100A1445,0,-1
YOK 25570R16,0,-1
GT A287,1,0
HAN 27570R16,0,-1
LIN 2758022.5,1,0
GT 100A1775,0,-5
CON 05111080000,0,-2
LIN LLF02,1,0
LIN295/80R22.5,0,-2
CHAO 6.50R14,0,-4
GOOD 6.50R14,1,0
GT 120A1717,0,-1
PLBS018C,3,0
PLB2951A,2,0
PLBS041,1,0
P26310-27100,0,-3
PLBS006,20,0
PLB3651,1,0
PLBS6066,0,-3
PLB3614,2,0
PABS001,0,-1
PAB4940,1,0
PABS032,1,0
PAB3874,0,-1
PABS066,2,0
PABS010,1,0
PABS108,2,0
PABS155,0,-1
PABS116,1,0
PFBS006,0,-1
PFBS94419,2,0
PFB65481,0,-1
PFB55356,0,-1
PFB60222C,1,0
PFBS049,1,0
L15410-60G00,0,-1
90915-30001,11,0
LAN CB-5014,1,0
LAN DR-4561,2,0
LAN L4-90,0,-1
PAR 2020TM-OR,0,-4
PAR 2040TM-OR,2,0
