Empresa,Yhaguy
,
CODIGO,DESCRIPCION
VARIOS,VARIOS
TODOS,TODOS
124,124
AUTOMOVILES,AUTOMOVILES
CAMIONETAS,CAMIONETAS
CAMIONES,CAMIONES
CARGO,CARGO
112/3,112/3
OM352,OM352
OM366,OM366
1113,1113
SERIE 5,SERIE 5
8450,8450
TRACTOR,TRACTOR
112,112
2.2,2.2
100,100
113,113
OTROS,OTROS
1.5/1.6,1.5/1.6
6150,6150
S10,S10
3.0,3.0
A6,A6
1180,1180
2.8,2.8
2.4/2.8,2.4/2.8
1.0/1.4/1.6,1.0/1.4/1.6
1214,1214
C-10/C-14,C-10/C-14
2.7,2.7
7500,7500
1318,1318
1524,1524
1620,1620
F-4000,F-4000
1.0/1.6,1.0/1.6
3224,3224
9M 9740,9M 9740
5S 484,5S 484
1.6/1.8,1.6/1.8
1.8,1.8
FH12,FH12
NL10/NL12,NL10/NL12
FM12,FM12
1.6,1.6
2.5/2.8,2.5/2.8
PERKINS,PERKINS
OM364,OM364
104,104
D-70,D-70
K2700,K2700
K3500,K3500
1.6/2.0,1.6/2.0
1630,1630
1618,1618
F 1000,F 1000
F 11000,F 11000
F-2000,F-2000
1.0,1.0
1.8/2.0,1.8/2.0
6357,6357
A3,A3
1050,1050
6600,6600
1.5,1.5
6350,6350
LB70,LB70
M/V/M/N,M/V/M/N
1313,1313
F-14000,F-14000
11140,11140
13170,13170
1526,1526
1722,1722
5600/6300,5600/6300
D 40,D 40
1.6/1.8/2.0,1.6/1.8/2.0
V8,V8
608,608
912,912
1218,1218
1519,1519
OM447,OM447
1.3,1.3
1.3/1.4/1.6,1.3/1.4/1.6
8.3,8.3
508,508
1.0/1.6/1.8,1.0/1.6/1.8
D-229,D-229
111,111
140,140
142,142
L200,L200
L300,L300
1.3/1.6,1.3/1.6
P94,P94
1938,1938
F-1000/4000,F-1000/4000
N10/12,N10/12
709,709
B58,B58
TD120,TD120
TD 100,TD 100
D 20,D 20
1.0/1.4,1.0/1.4
GMC 6-100,GMC 6-100
6 CT,6 CT
1.5/2.0,1.5/2.0
MWM D 229-4,MWM D 229-4
1.3/1.5,1.3/1.5
1.7,1.7
1.4/1.6,1.4/1.6
2325,2325
VW11.130/13130,VW11.130/13130
BANDEIRANTE,BANDEIRANTE
147,147
1525,1525
1935,1935
110/1,110/1
D-100,D-100
CARRETA,CARRETA
1800,1800
LPO,LPO
1113/1313,1113/1313
D10/20,D10/20
D10/C10,D10/C10
400,400
N-10,N-10
B-10M,B-10M
F-700/F-750/F-950,F-700/F-750/F-950
OM 904,OM 904
360,360
1418,1418
680,680
141,141
2213,2213
1929,1929
KRONE,KRONE
OM 457,OM 457
13/18/R/B8,13/18/R/B8
TD122,TD122
2013,2013
1513,1513
F 350,F 350
O-371,O-371
OM500,OM500
2.0/2.2,2.0/2.2
B10M,B10M
914,914
7-100,7-100
113/124,113/124
OM400,OM400
OM449,OM449
1113/1518,1113/1518
VW8100/F-4000,VW8100/F-4000
C/21D,C/21D
N/A 410T,N/A 410T
FOX,FOX
OM 355,OM 355
N12,N12
TD121,TD121
TD 120/121/122,TD 120/121/122
NL12,NL12
114,114
"IBERO-8""","IBERO-8"""
C10/D10,C10/D10
R 112,R 112
FM12/FH12,FM12/FH12
FH12/FM10/12,FH12/FM10/12
1924,1924
24-220,24-220
AD 3152,AD 3152
OM370/371,OM370/371
1625,1625
MF-270/285/295,MF-270/285/295
1420,1420
2635,2635
1721,1721
124/P94,124/P94
2.0,2.0
TRUCKI,TRUCKI
NL 10,NL 10
712,712
915,915
1308,1308
MWM 225/226/229,MWM 225/226/229
710,710
M80/85/90/93/790,M80/85/90/93/790
814/914,814/914
A60-C60-D60,A60-C60-D60
C60-D60-D70-D90,C60-D60-D70-D90
F-100/1000,F-100/1000
D 10,D 10
F-250,F-250
LS1938,LS1938
O-370,O-370
1.0/1.3,1.0/1.3
6.6,6.6
BF 161,BF 161
1300,1300
1500/1600,1500/1600
RI/RE-32218,RI/RE-32218
"GUERRA-8""","GUERRA-8"""
VW7.110,VW7.110
110,110
B-12,B-12
1114,1114
14-150,14-150
BR 116,BR 116
340,340
1516,1516
1720,1720
7.90,7.90
35-300,35-300
VW11.130,VW11.130
F10/12,F10/12
B 7,B 7
321,321
THD 100EC/ED,THD 100EC/ED
148,148
143,143
F 100,F 100
B10,B10
B10/2,B10/2
R-751/R-752,R-751/R-752
L75,L75
9.6,9.6
1.0/1.5,1.0/1.5
P93/94,P93/94
L101/S101,L101/S101
O352,O352
R 143,R 143
1.0/1.8,1.0/1.8
1414,1414
OM904,OM904
P93,P93
D-12,D-12
LO-912,LO-912
2.4,2.4
NH12,NH12
FM12/NM12,FM12/NM12
380,380
OM924,OM924
2.5,2.5
2219/20,2219/20
C-D 10,C-D 10
1622,1622
NL 340,NL 340
GMC 3-500/6-150,GMC 3-500/6-150
1921,1921
94,94
1419,1419
1117/8,1117/8
12 170,12 170
C1113,C1113
1316,1316
1315,1315
1111,1111
1610,1610
2314,2314
2225,2225
708,708
1.0 /1.4 /1.5,1.0 /1.4 /1.5
HILUX,HILUX
312/321/331,312/321/331
1634,1634
VW13.130,VW13.130
TD100/2/3,TD100/2/3
SUECO,SUECO
OM906,OM906
P93/R93/T93,P93/R93/T93
715,715
OM 906 LA,OM 906 LA
1.4,1.4
712 C,712 C
EATON/VME,EATON/VME
W20,W20
115,115
307,307
1000/1065,1000/1065
C10,C10
1518,1518
C3,C3
814,814
SLC,SLC
360/600,360/600
FH12/NH12,FH12/NH12
4405,4405
VM17,VM17
N10/NL10,N10/NL10
LK 38,LK 38
14.10,14.10
8260,8260
110 ID,110 ID
180,180
1.3/1.4/1.5,1.3/1.4/1.5
1.9,1.9
1.0/1.3/1.5,1.0/1.3/1.5
1.6/1.8/2.0/2.2,1.6/1.8/2.0/2.2
TD 70,TD 70
A 10,A 10
C10/C20,C10/C20
X10,X10
D225,D225
MF-65,MF-65
M130,M130
AS140/160,AS140/160
135/DT180,135/DT180
TX 1100/1200,TX 1100/1200
1621,1621
F-600/7000,F-600/7000
2.3,2.3
AD78,AD78
AD4,AD4
Euro Cargo E120 E15,Euro Cargo E120 E15
17-210,17-210
5030,5030
4600,4600
4610,4610
5610,5610
5630,5630
6610,6610
TRATOR 8240,TRATOR 8240
D50,D50
D65,D65
1105/2150,1105/2150
12E,12E
118,118
1280,1280
TRATOR 65,TRATOR 65
14B,14B
1235,1235
265,265
CARGO 1621,CARGO 1621
405,405
O370/1R-O400R,O370/1R-O400R
450,450
4200,4200
C3MD30,C3MD30
P3640,P3640
MF-50/55,MF-50/55
3.1,3.1
D 9500,D 9500
D11000,D11000
D222,D222
D232,D232
D226,D226
1020/1090,1020/1090
100/1020/1065,100/1020/1065
2070/2080,2070/2080
LAVRALE,LAVRALE
MF-290,MF-290
MF-C3MD30,MF-C3MD30
MF-270/295,MF-270/295
TRATOR 4600,TRATOR 4600
R5/T5,R5/T5
2300,2300
RD 350,RD 350
DT 180/RD,DT 180/RD
331,331
F-600,F-600
4600/6600,4600/6600
5600/6600,5600/6600
4500/4600,4500/4600
6600/7600,6600/7600
60/62/65/80,60/62/65/80
62/65/68/85/88,62/65/68/85/88
TC11,TC11
190,190
JK 2000,JK 2000
AD14B,AD14B
D100,D100
11000/12000/14000,11000/12000/14000
CARGO 1114,CARGO 1114
CARGO 2932e,CARGO 2932e
K113,K113
8210.42,8210.42
LK-140,LK-140
1941,1941
EV-90,EV-90
EV-80B,EV-80B
A8,A8
LK 3815,LK 3815
LK 3816,LK 3816
TD123,TD123
ACD-20/40,ACD-20/40
BOSCH,BOSCH
F-400,F-400
111AT,111AT
68/110/360/600,68/110/360/600
412 D,412 D
CARGO 1622,CARGO 1622
BR7,BR7
AC64/98 D64/88,AC64/98 D64/88
F-600/700/750,F-600/700/750
EV-80/81,EV-80/81
"RANDON-8""","RANDON-8"""
TR 15 X 7*,TR 15 X 7*
F7000/12000/13000,F7000/12000/13000
8700/9700,8700/9700
4.1,4.1
C1218,C1218
F1000/350/4000,F1000/350/4000
C814,C814
8150,8150
TD101,TD101
