Empresa;Yhaguy;;
;;;
CODIGO;MAYORISTA;MINORISTA;LISTA
TOY NS-40P;250000;332000;332000
TOY NS-40PL;250000;332000;332000
TOY NS-60;310000;416000;416000
TOY NS-60L;310000;416000;416000
TOY BT-45;280000;379000;379000
TOY BT-45L;280000;379000;379000
TOY N-50LTF;310000;416000;416000
TOY N-50TF;310000;416000;416000
TOY N-51LTF;310000;416000;416000
TOY N-51TF;310000;416000;416000
TOY NS-62L;310000;416000;416000
TOY BT-54;340000;459000;459000
TOY BT-54L;340000;459000;459000
TOY N-50Z;350000;467000;467000
TOY N-50ZL;350000;467000;467000
TOY BT-63;380000;502000;502000
TOY BT-63L;380000;502000;502000
TOY NS-70;380000;511000;511000
TOY NS-70L;380000;511000;511000
TOY BT-65l;370000;493000;493000
TOY BT-65;370000;493000;493000
TOY N-65L;430000;570000;570000
TOY N-65;430000;570000;570000
TOY N-70;440000;596000;596000
TOY N-70L;440000;596000;596000
TOY BT65LTF;370000;493000;493000
TOY BT65TF;370000;493000;493000
TOY BT-70;410000;546000;546000
TOY BT-70L;410000;546000;546000
TOY N65LTF;430000;570000;570000
TOY N65TF;430000;570000;570000
TOY N-70Z;480000;641000;641000
TOY N-70ZL;480000;641000;641000
TOY N75TF;440000;596000;596000
TOY N75LTF;440000;596000;596000
TOY N76LTF;440000;596000;596000
TOY N76TF;440000;596000;596000
TOY N85LTF;490000;652000;652000
TOY N85TF;490000;652000;652000
TOY N86LTF;490000;652000;652000
TOY N86TF;490000;652000;652000
TOY N-88;540000;719000;719000
TOY N-88L;540000;719000;719000
TOY 95D31L;500000;677000;677000
TOY 95D31R;500000;677000;677000
TOY 95D31L-P;500000;677000;677000
TOY 95D31R-P;500000;677000;677000
TOY GT-100L;530000;711000;711000
TOY GT-100;530000;711000;711000
TOY N95LTF;500000;677000;677000
TOY N95TF;500000;677000;677000
TOY BT-100;570000;760000;760000
TOY H-100;690000;934000;934000
TOY HT-100;690000;934000;934000
TOY N-100;570000;769000;769000
TOY N-120;680000;910000;910000
TOY BTN-150;750000;1002000;1002000
TOY N-150;880000;1183000;1183000
TOY N-180;930000;1265000;1265000
TOY N-180R;930000;1265000;1265000
TOY N-200;1030000;1384000;1384000
REIF C-NS35D;240000;321000;321000
REIF H-40NSFD;320000;422000;422000
REIF C-45VKSD/E;280000;368000;368000
REIF 45VKSD;300000;395000;395000
REIF 45VKSE;300000;395000;395000
REIF H-50NSVD;380000;509000;509000
REIF 60OPLD;350000;472000;472000
REIF 60OPLE;350000;472000;472000
REIF C-60OPLD;330000;447000;447000
REIF C-60OPLE;330000;447000;447000
REIF H-60OSAD;440000;587000;587000
REIF H-70PSTD;450000;608000;608000
REIF 70PSTD;400000;539000;539000
REIF 70PSTE;400000;539000;539000
REIF C-70PSTD;380000;510000;510000
REIF C-70PSTE;380000;510000;510000
REIF H-80HYUD;650000;878000;878000
REIF 80PTOD;580000;781000;781000
REIF 80PTOE;580000;781000;781000
REIF 90FCD;620000;834000;834000
REIF 90FCE;620000;834000;834000
REIF 95SPRD;690000;934000;934000
REIF 110MFY;740000;992000;992000
REIF 160MCD;1020000;1374000;1374000
REIF 200ONB;1390000;1880000;1880000
