Empresa,Yhaguy
,
CODIGO,DESCRIPCION
Sin linea,Sin linea
OTROS,OTROS
GASTOS DE IMPORTACION,GASTOS DE IMPORTACION
LIVIANA,LIVIANA
PESADA,PESADA
AGRICOLA,AGRICOLA
CONSTRUCTORA,CONSTRUCTORA
MERCHANDISING,MERCHANDISING
KEPIS,KEPIS
PROMOCION,PROMOCION
TERMOS BORDADOS,TERMOS BORDADOS
GUAMPAS C/ BOMBILLAS,GUAMPAS C/ BOMBILLAS
REMERAS,REMERAS
PELOTAS,PELOTAS
BANNERS,BANNERS
BANDERINES,BANDERINES
EXHIBIDOR FILTROS,EXHIBIDOR FILTROS
BASUREROS ECOLÓGICOS,BASUREROS ECOLÓGICOS
LENTES,LENTES
TICKETS DE MANTENIMIENTO,TICKETS DE MANTENIMIENTO
LLAVEROS,LLAVEROS
IMANES,IMANES
FRANELAS,FRANELAS
GUANTES,GUANTES
EXHIBIDORES LUBRICANTES,EXHIBIDORES LUBRICANTES
RELOJES,RELOJES
BOLIGRAFOS,BOLIGRAFOS
TOALLAS BORDADAS,TOALLAS BORDADAS
CAMISAS ,CAMISAS 
EXHIBIDORES BATERIAS,EXHIBIDORES BATERIAS
BOLSAS DE PLASTICOS,BOLSAS DE PLASTICOS
BATERIAS,BATERIAS
PROMO,PROMO
