Empresa,Yhaguy Repuestos
,,,,,
CODIGO,CANTIDAD,FECHA,PROVEEDOR,COSTODS,COSTOGS
SAB 78587,12,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,8.14,40.339
SAB 75120,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,5.57,33.235
SAB 78920,10,28/8/2013,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.74,3.555
SAB 78924,50,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.87,3.845
SAB 78928,100,8/7/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.31,1.851
SAB 78927,10,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.58,7.830
SAB 78947,20,9/12/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.6,2.894
SAB 78936,50,25/11/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.45,16.188
SAB 78923,50,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.78,16.767
SAB 78943,30,9/2/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.81,15.381
SAB 78944,20,8/7/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.34,15.549
SAB 78930,20,8/2/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.51,15.694
SAB 78926,40,8/7/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.91,11.322
SAB 78929,20,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,7.9,35.046
SAB 78909,30,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.87,24.157
SAB 78916,20,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.9,9.416
SAB 78908,10,8/7/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.07,12.272
SAB 78912,40,9/12/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.31,8.285
SAB 78922,5,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.79,23.737
SAB 78917,20,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.12,13.853
SAB 78913,200,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.27,7.935
SAB 78945,30,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.72,7.619
SAB 78918,48,8/7/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.98,4.732
SAB 78932,5,26/3/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.62,17.190
SAB 78478,30,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.19,13.067
SAB 75000,120,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.41,8.568
SAB 46846 F,50,8/7/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.18,1.066
SAB 78937,20,31/10/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.44,6.401
SAB 78550,50,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.14,19.081
SAB 78571,4,26/10/2010,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.61,24.731
SAB 80295,4,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,159.41,951.173
SAB 80904,25,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,53.67,320.240
SAB 80905,16,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,117.26,732.063
SAB 80906,3,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,67.77,411.811
SAB 80924,10,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,68.8,418.070
SAB 79312,36,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,10.43,62.234
SAB 80951,1,1/10/2018,SANTA ELENA S.A.,,675.545
SAB 79924,3,11/10/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,71.52,439.414
SAB 80236,20,26/3/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,30.59,145.264
SAB 79402,800,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.56,9.790
SAB 79473,800,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,3.59,21.421
SAB 79378,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,20.8,128.593
SAB 80363 FLEXR,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,23.92,147.857
SAB 99514,29,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.94,9.371
SAB 46560 EF,120,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.09,6.504
SAB 48806 EFS,40,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,27.2,170.704
SAB 48806 EFPSD1,1,11/9/2018,SANTA ELENA S.A.,,184.144
SAB 48906 EFPSD4,30,18/5/2010,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,26.23,133.044
SAB 48906 EFPSD1,40,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,32,200.829
SAB 81952,10,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,40.28,244.765
SAB 48906 EF1,10,30/12/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,29.28,112.436
SAB 48907 EFPSD,1,25/9/2017,SANTA ELENA S.A.,,316.482
SAB 48909 EFPSD,1,16/3/2011,INTERNACIONAL REPUESTOS S.R.L  ,,345.455
SAB 81959,2,26/5/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,49.14,236.599
SAB 48606 EFPSD,15,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,33.6,200.486
SAB 80362,50,22/3/2013,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,32.55,141.677
SAB 80270,120,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,28.8,171.845
SAB 80281,4,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,84,501.214
SAB 80282,2,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,70,417.678
SAB 48307 EFS,1,17/9/2014,SANTA ELENA S.A.,,161.998
SAB 48306 EFPSD1,12,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,23.27,138.848
SAB 48206 EFPSD,50,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,21.48,128.168
SAB 80954,2,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,56.1,340.897
SAB 80953,2,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,113.39,679.910
SAB 80958,3,26/5/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,116.05,558.756
SAB 11307 FLEX,60,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,7.39,33.197
SAB 80246,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,13.36,82.621
SAB 80344,1,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,34,210.199
SAB 80232,15,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,18.67,115.394
SAB 11306 EFPSG,3,26/3/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,7.22,34.286
SAB 80266,20,31/12/2015,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,10,62.014
SAB 80268,20,12/1/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,12.8,50.592
SAB 80262,20,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,7.82,48.344
SAB 80350,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,28.8,178.051
SAB 80196,10,26/5/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,33.18,159.755
SAB 80349,1,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,36,215.863
SAB 70606 EFPSD,15,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,18,107.932
SAB 70006 EFPSD,3,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,14,83.947
SAB 70207 EFPSD,20,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,20.8,124.721
SAB 10906 EFPSG,0,,,,72.620
SAB 10306 EFPSG,0,,,,50.990
SAB 80279,6,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,64.55,387.055
SAB 71706 EFPSD4,10,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,24.4,146.307
SAB 71806 EFPSD,3,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,24,143.909
SAB 71206 EFPSD,8,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,30,179.005
SAB 71106 EFPSD,4,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,33.2,201.743
SAB 80277,6,30/12/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,48.83,245.871
SAB 70206 EF3,1,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,6.92,41.290
SAB 80555,10,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,129.22,771.034
SAB 79310,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,13.8,82.342
SAB 80112,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,82.8,494.054
SAB 80412,120,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,30.4,190.789
SAB 80901,50,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,94.98,566.730
SAB 79150,300,17/9/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,9.83,61.692
SAB 11706 EFPSD,1,28/8/2013,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,20.31,97.585
SAB 11806 EFPSD,4,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,22,136.011
SAB 71806 EFPSD4,10,25/11/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,25.2,118.265
SAB 71606 EFPSD,3,7/9/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,15.6,93.541
SAB 71706 EFPSD,10,25/11/2011,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,21.6,101.370
SAB 80308,1,19/4/2018,SANTA ELENA S.A.,,832.116
SAB 80317,4,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,121.38,466.642
SAB 80320,2,9/12/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,99.48,629.172
SAB 80321,1,6/5/2015,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,105.6,353.729
SAB 80322,1,6/5/2015,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,95.76,517.928
SAB 46906 EFSG,5,3/1/2014,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,13.51,66.951
SAB 81800,15,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4.8,29.168
SAB 80224,60,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,8.24,49.167
SAB 80450,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,8,49.459
SAB 46306 EFSD1,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,12.42,76.809
SAB 78447,50,19/12/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.18,7.170
SAB 79311,30,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,18.59,110.923
SAB 79563,18,8/2/2017,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.57,7.040
SAB 78448,60,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,1.25,7.459
SAB 77075,33,9/2/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,4,24.535
SAB 79109,18,3/10/2018,IDICON S.A.,,38.975
SAB 10301 FPSG2,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,2.91,18.002
SAB 16206 EFPSG,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,12.5,77.277
SAB 46507 EFPSG,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,14.65,90.582
SAB 80019,10,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,16.93,104.671
SAB 80271,15,16/11/2016,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,12.28,75.946
SAB 46812 F1,100,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.22,1.313
SAB 46512 F2,60,30/4/2018,SABO INDUS.E COMERCIO DEAUTOPEÇAS LTDA.,0.57,3.401
