Empresa,Yhaguy
,
CODIGO,DESCRIPCION
ELE,ELE
AUTOMOVIL,AUTOMOVIL
Sin Grupo,Sin Grupo
OTROS,OTROS
PE,PE
SERVICIOS,SERVICIOS
FERRETERIA,FERRETERIA
GOMERIA,GOMERIA
###,###
ACCESORIOS,ACCESORIOS
CUBAUTO,CUBAUTO
CUBCAM,CUBCAM
CAMIONETAS,CAMIONETAS
RUEDA,RUEDA
CUBLIV,CUBLIV
CARRETA,CARRETA
FIL,FIL
ACEITE,ACEITE
AIRE,AIRE
COMBUSTIBLE,COMBUSTIBLE
FILT,FILT
MOTOR,MOTOR
FRENOS,FRENOS
HIDRAULICO,HIDRAULICO
CAJA,CAJA
Z,Z
LYO,LYO
CYD,CYD
ANVASE,ANVASE
GALON,GALON
BALDE,BALDE
TAMBOR,TAMBOR
LUBRI,LUBRI
TUBO,TUBO
WYNNPROF,WYNNPROF
WYNNSCONS,WYNNSCONS
SYD,SYD
MERCHANDISING ,MERCHANDISING 
PROMOCION,PROMOCION
PUBLICIDAD,PUBLICIDAD
BEBIDAS,BEBIDAS
VYF,VYF
ESC,ESC
DIFERENCIAL,DIFERENCIAL
EMBRAGUES,EMBRAGUES
MYF,MYF
MASA,MASA
DIRECCION,DIRECCION
LYA,LYA
CAJA ZF,CAJA ZF
SUSPENSION,SUSPENSION
COMPRESOR,COMPRESOR
CYE,CYE
CHASIS,CHASIS
CARDAN,CARDAN
AMORTIGUADORES,AMORTIGUADORES
BOMBA,BOMBA
VARIOS,VARIOS
JUNTAS,JUNTAS
TAPA,TAPA
TURBINA,TURBINA
VAR,VAR
EJE,EJE
MB,MB
INYEC,INYEC
TC,TC
PULI,PULI
CA¥O,CA¥O
INTE,INTE
MOT,MOT
CRR,CRR
FARO,FARO
VALV,VALV
TUER,TUER
TORN,TORN
DIF,DIF
CABINA,CABINA
MO,MO
CAMIONES,CAMIONES
CHAyPIN,CHAyPIN
