Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
CHA FR150TD,0,-3
HEL F90LE,0,-2
GT 100A2815,0,-2
GT 100A1527,1,0
GT 100A3251,0,-3
GT 100A1537,1,0
GT 100A381,0,-4
CON 15485660000,0,-2
CON 15493290000,1,0
GT 100A1518,1,0
GT 100A663,0,-1
GT 100A1519,0,-3
ART 195/70R14A600,1,0
GT 100A950,4,0
GT 100A2825,0,-9
GT 100A3070,1,0
CON 03579560000,0,-11
GT 100A1578,1,0
GT 100A825,2,0
CON 15485780000,2,0
CON 15508610000,0,-23
CON 20555R16 CPC,0,-2
GT 100A285,2,0
CON 15476250000,1,0
GT 100A1892,6,0
CON 03509500000,6,0
GT 100A1996,0,-1
F1660,4,0
CON 15481720000,4,0
GT 100A1440,0,-1
GT 100A2012,1,0
GT 100A1905,0,-1
GT 100A2580,0,-1
GT 100A1896,0,-1
GT 100A1444,1,0
GT GGHZ297,0,-4
GENT 15485200000,1,0
GT A556,4,0
GENT 04570420000,0,-1
GT 100A1770,0,-2
CON 15447960000,6,0
CON 03548630000,0,-2
CON 03541430000,4,0
GT 100A2301,2,0
ART P265/70R16 111T,0,-1
ART 265/70R16A1000,1,0
GT 100A1891,0,-2
GT 100A1775,4,0
CON 05210890000,0,-18
CON 05111080000,0,-2
LIN 29580R22.5,0,-1
CON 05210860000,0,-8
GT 100A1902,0,-9
GENT 05684050000,0,-4
ART 35X12.50R17A1000,0,-4
GT 100A1531,4,0
GT 100A1443,1,0
CON 05110480000,63,0
PLB8AC,0,-1
PLBS041,2,0
P26310-27100,67,0
PLB6355C,1,0
PABS032,0,-3
PAB9441,2,0
PABS163,0,-4
28113-3E000,0,-1
PABS037,1,0
PAB8731,0,-4
PABRC911,0,-1
PABWL31,0,-6
L16010-ST5-931,0,-14
PFBS006C,0,-36
PFB65481,2,0
L16010-ST5-930,15,0
L31911-02100,11,0
LOK201-20-490,0,-1
PFB55356,0,-5
PFB60222C,0,-1
PFB60222,1,0
PFBT8350,1,0
PFBS049,1,0
TEC BA-703,8,0
CB-5004,1,0
LAN DR-4561,0,-40
TEC ACP-003,5,0
TEC ACP-303,0,-5
AOY CF1810,0,-2
TEC ARS-9725,0,-1
PAR R60-10HP,0,-1
TEC AS-116,1,0
TEC PEL-677,3,0
PAR 2040TM-OR,0,-4
PAR 2040PM-OR,4,0
TEC ASR-941,0,-1
TEC ARL-8830,0,-22
TEC AR-1018,0,-1
TEC AR-1017,1,0
TEC PEC-3015,3,0
MAH LXS315,0,-2
MAH OX179D,1,0
MAH LA37,1,0
TEC ACP-724,0,-12
MAH LX804/S,118,0
TEC ARS-1182,1,0
PCBS4033,1,0
TEC PD-202/1,0,-1
MAH KX70D ECO,1,0
MAH OX380D ECO,3,0
AOY 13780-60G00,3,0
AOY 13780-63J00,0,-2
AOY 16546-7F002,1,0
AOY 16546-ED000,0,-5
AOY 17801-33040,0,-2
AOY 17801-54060,0,-2
AOY 28113-0X200,0,-4
AOY 28113-1G000,9,0
AOY 28113-1G100,0,-9
AOY 28113-2B000,1,0
MAH LA156,2,0
MAH LX1850/2,6,0
MAH LX752,1,0
MAH LX312,2,0
AOY OK72C-23-603,7,0
AOY MD603932,2,0
AOY 1500A286,0,-6
AOY OK71E23603,0,-8
MAH KL65,1,0
TEC PSD-420,6,0
TEC PSL-900,0,-6
TEC PSL-561,2,0
TEC PSL-675,1,0
15601-68010,2,0
WP-12300,1,0
TEC PSL-123,2,0
TEC PSL-560,0,-2
ME014833,6,0
LAN BL-2082,1,0
LUB LFP-923,0,-2
TEC PSL-417,12,0
LUB AF-7877,2,0
LUB LFH-4636,0,-1
TEC ACP-100,0,-2
TEC ACP-208,8,0
LUB LAF-7360,2,0
TEC AS-830,1,0
TEC AP-9834,1,0
TEC AP-9835,0,-2
TEC AP-7108,4,0
PABS113,51,0
